t,quantum,M1,M3,M5_noisy
5.466666666666667,0.30556249978977956,0.13773881032534951,0.23954268497507167,0.36571030135317445
5.6,0.3097155575458657,0.14954418572165232,0.24515439924301843,0.3608951580406815
5.733333333333333,0.3076661164802376,0.15721426946706185,0.24454086401976952,0.34896929474644495
5.866666666666666,0.2995478385752306,0.16089546775733324,0.23773042646197934,0.3317674851838989
6.0,0.2856120508254132,0.1608143310316709,0.22506583214426204,0.3099134642349242
6.133333333333333,0.2662288143264417,0.15726380684001026,0.20714995939268593,0.28281444333335737
6.266666666666667,0.2418817756368888,0.15059295598581962,0.1847205585918816,0.2494875273114878
6.4,0.21315476408558853,0.14119810274185915,0.1585200442298568,0.20927624277624735
6.533333333333333,0.18071004912875213,0.12951216553219785,0.1292403864192999,0.16219588864598453
6.666666666666667,0.14526076214182365,0.11598992712722787,0.09756221823837528,0.1094934848705832
6.8,0.1075422221392482,0.1010920560759252,0.06423688757123121,0.05412639585073373
6.933333333333334,0.0682876309382797,0.08527441033977752,0.03014228924126752,-1.1848879221094607e-05
7.066666666666666,0.0282122985829624,0.06898418501530157,-0.003737549487875062,-0.049880271073469915
7.2,-0.011992268240834809,0.05265558901482997,-0.036400104029148984,-0.09436350394027203
7.333333333333333,-0.05165622183673685,0.03669755726021313,-0.06691819420547944,-0.13394917021055341
7.466666666666667,-0.09012527874106102,0.02147559685421441,-0.09449520873144411,-0.16994665551195726
7.6,-0.1267556905102577,0.007296825975538274,-0.11847519146816865,-0.2038479310689572
7.733333333333333,-0.16091481576985728,-0.005595557910573822,-0.13831798172338897,-0.23649779699695844
7.866666666666666,-0.19199012709182162,-0.017018856882999797,-0.15357100083995875,-0.2670606880064276
8.0,-0.21940680047191985,-0.02684244893477776,-0.16387362933249983,-0.29266976057959293
8.133333333333333,-0.24265094074316065,-0.03497883177658148,-0.16899970112851193,-0.30951316784993926
8.266666666666666,-0.261293045656808,-0.041378205498665534,-0.1689178573618067,-0.3147391533826617
