time,q,p,pop_lower,pop_upper,mean_energy
1456.0,4.560005027297484,20.01389059655082,0.47759244766715064,0.5224075523328496,0.10058680129497027
1458.0,4.5800189174128185,20.013889639232936,0.4775924477033422,0.5224075522966576,0.10058680129352356
1460.0,4.6000328065860066,20.013888712093525,0.4775924477340592,0.522407552265941,0.10058680129229564
1462.0,4.620046694846748,20.01388781418035,0.4775924477600614,0.5224075522399387,0.10058680129125627
1464.0,4.6400605822238035,20.013886944571293,0.4775924477820162,0.5224075522179837,0.10058680129037861
1466.0,4.660074468745028,20.013886102373448,0.4775924478005073,0.522407552199493,0.10058680128963941
1468.0,4.680088354437398,20.013885286722154,0.47759244781604143,0.5224075521839588,0.10058680128901838
1470.0,4.700102239327041,20.013884496780104,0.4775924478290599,0.5224075521709401,0.10058680128849791
1472.0,4.720116123439258,20.013883731736474,0.47759244783994326,0.5224075521600571,0.10058680128806283
1474.0,4.740130006798551,20.013882990806064,0.4775924478490194,0.5224075521509808,0.10058680128769994
1476.0,4.760143889428653,20.013882273228496,0.47759244785657023,0.5224075521434299,0.10058680128739801
1478.0,4.780157771352547,20.013881578267426,0.477592447862837,0.5224075521371632,0.10058680128714743
1480.0,4.800171652592489,20.013880905209767,0.47759244786802535,0.5224075521319747,0.10058680128693998
1482.0,4.8201855331700365,20.013880253364945,0.4775924478723103,0.5224075521276895,0.10058680128676861
1484.0,4.840199413106067,20.013879622064206,0.4775924478758412,0.5224075521241589,0.10058680128662742
1486.0,4.860213292420798,20.013879010659892,0.47759244787874294,0.5224075521212569,0.10058680128651132
1488.0,4.88022717113381,20.013878418524808,0.4775924478811224,0.5224075521188777,0.10058680128641623
1490.0,4.900241049264068,20.013877845051532,0.4775924478830684,0.5224075521169319,0.10058680128633844
1492.0,4.920254926829939,20.013877289651813,0.47759244788465555,0.5224075521153447,0.10058680128627495
1494.0,4.940268803849206,20.013876751755966,0.4775924478859472,0.5224075521140532,0.10058680128622333
1496.0,4.9602826803391,20.013876230812265,0.47759244788699523,0.522407552113005,0.10058680128618137
1498.0,4.980296556316302,20.013875726286404,0.4775924478878435,0.5224075521121566,0.1005868012861475
1500.0,5.000310431796973,20.013875237660905,0.47759244788852834,0.5224075521114716,0.10058680128612014
1502.0,5.020324306796757,20.013874764434625,0.47759244788907956,0.5224075521109206,0.10058680128609812
1504.0,5.040338181330813,20.013874306122208,0.47759244788952193,0.5224075521104783,0.10058680128608039
1506.0,5.060352055413816,20.013873862253625,0.4775924478898758,0.5224075521101245,0.10058680128606629
1508.0,5.080365929059983,20.01387343237364,0.477592447890158,0.5224075521098418,0.10058680128605496
1510.0,5.100379802283079,20.01387301604138,0.47759244789038263,0.5224075521096174,0.10058680128604594
1512.0,5.120393675096439,20.01387261282988,0.47759244789056066,0.5224075521094395,0.1005868012860388
1514.0,5.140407547512974,20.013872222325613,0.4775924478907012,0.5224075521092989,0.10058680128603313
1516.0,5.160421419545194,20.013871844128115,0.4775924478908117,0.5224075521091883,0.10058680128602875
1518.0,5.180435291205205,20.013871477849513,0.4775924478908981,0.522407552109102,0.10058680128602523
1520.0,5.200449162504741,20.013871123114182,0.4775924478909656,0.5224075521090342,0.10058680128602249
1522.0,5.22046303345516,20.013870779558335,0.47759244789101823,0.5224075521089818,0.10058680128602043
1524.0,5.240476904067467,20.01387044682964,0.47759244789105876,0.5224075521089413,0.1005868012860188
1526.0,5.2604907743523155,20.013870124586877,0.4775924478910899,0.5224075521089103,0.10058680128601757
1528.0,5.280504644320025,20.01386981249958,0.47759244789111355,0.5224075521088865,0.10058680128601664
1530.0,5.300518513980593,20.013869510247694,0.4775924478911318,0.5224075521088684,0.10058680128601592
1532.0,5.320532383343696,20.013869217521258,0.47759244789114547,0.5224075521088547,0.1005868012860154
1534.0,5.3405462524187115,20.01386893402007,0.4775924478911559,0.5224075521088444,0.10058680128601495
1536.0,5.360560121214714,20.01386865945341,0.47759244789116323,0.5224075521088367,0.10058680128601472
1538.0,5.380573989740499,20.0138683935397,0.47759244789116895,0.5224075521088313,0.10058680128601456
1540.0,5.4005878580045845,20.013868136006227,0.47759244789117294,0.5224075521088274,0.10058680128601438
1542.0,5.420601726015216,20.013867886588898,0.47759244789117566,0.5224075521088243,0.1005868012860142
1544.0,5.4406155937803815,20.013867645031944,0.47759244789117766,0.5224075521088226,0.10058680128601417
1546.0,5.460629461307817,20.01386741108763,0.4775924478911788,0.5224075521088212,0.1005868012860141
1548.0,5.480643328605014,20.013867184516055,0.47759244789117966,0.5224075521088203,0.10058680128601412
1550.0,5.50065719567923,20.013866965084862,0.47759244789118,0.52240755210882,0.1005868012860141
1552.0,5.520671062537489,20.013866752569015,0.47759244789118044,0.5224075521088198,0.10058680128601405
1554.0,5.540684929186599,20.013866546750595,0.47759244789118044,0.5224075521088197,0.10058680128601409
1556.0,5.5606987956331535,20.013866347418517,0.4775924478911806,0.5224075521088195,0.10058680128601406
1558.0,5.580712661883531,20.013866154368372,0.47759244789118044,0.5224075521088195,0.10058680128601408
1560.0,5.600726527943918,20.01386596740219,0.4775924478911806,0.5224075521088197,0.10058680128601412
1562.0,5.6207403938202996,20.013865786328218,0.47759244789118027,0.5224075521088198,0.10058680128601405
1564.0,5.640754259518475,20.013865610960774,0.4775924478911801,0.52240755210882,0.100586801286014
1566.0,5.660768125044063,20.013865441120025,0.4775924478911798,0.5224075521088203,0.10058680128601402
1568.0,5.680781990402501,20.013865276631787,0.4775924478911798,0.5224075521088203,0.10058680128601398
1570.0,5.700795855599055,20.013865117327384,0.47759244789117966,0.5224075521088208,0.100586801286014
1572.0,5.720809720638828,20.01386496304344,0.4775924478911794,0.5224075521088206,0.10058680128601395
1574.0,5.74082358552676,20.01386481362174,0.4775924478911794,0.5224075521088208,0.10058680128601394
1576.0,5.76083745026764,20.01386466890906,0.47759244789117905,0.5224075521088208,0.10058680128601404
1578.0,5.780851314866098,20.01386452875698,0.4775924478911789,0.5224075521088213,0.10058680128601402
1580.0,5.800865179326623,20.013864393021773,0.47759244789117905,0.5224075521088212,0.10058680128601397
1582.0,5.820879043653566,20.013864261564258,0.4775924478911789,0.5224075521088212,0.10058680128601405
1584.0,5.840892907851131,20.013864134249616,0.4775924478911789,0.5224075521088212,0.10058680128601409
1586.0,5.860906771923401,20.013864010947273,0.47759244789117905,0.5224075521088212,0.10058680128601406
1588.0,5.880920635874322,20.013863891530793,0.4775924478911792,0.522407552108821,0.10058680128601406
