time,pmatrix_pop0,pmatrix_pop1,fssh_pop0,fssh_pop1,ehrenfest_pop0,ehrenfest_pop1,dvr_pop0,dvr_pop1
2825.0,0.43928782012214024,0.5607121798778597,0.40625,0.59375,0.22642230299571495,0.7735776970042842,0.2692536544142542,0.7307463455857358
2830.0,0.43928782011468503,0.5607121798853151,0.40625,0.59375,0.22642230244362876,0.7735776975563706,0.26924635223563764,0.7307536477643534
2835.0,0.4392878201082108,0.5607121798917891,0.40625,0.59375,0.22642230198951435,0.7735776980104849,0.26923944304466335,0.7307605569553273
2840.0,0.439287820102692,0.560712179897308,0.40625,0.59375,0.22642230162022658,0.7735776983797723,0.2692329087978624,0.7307670912021283
2845.0,0.43928782009806244,0.5607121799019377,0.40625,0.59375,0.22642230132329708,0.773577698676702,0.26922673206386744,0.7307732679361225
2850.0,0.43928782009423417,0.5607121799057659,0.40625,0.59375,0.22642230108725406,0.7735776989127454,0.2692208960182752,0.730779103981716
2855.0,0.43928782009110984,0.5607121799088902,0.40625,0.59375,0.22642230090179502,0.7735776990982043,0.2692153844371826,0.7307846155628083
2860.0,0.4392878200885911,0.560712179911409,0.40625,0.59375,0.22642230075785189,0.773577699242147,0.269210181689518,0.7307898183104726
2865.0,0.4392878200865843,0.5607121799134158,0.40625,0.59375,0.22642230064758018,0.7735776993524186,0.2692052727282985,0.730794727271692
2870.0,0.4392878200850034,0.5607121799149966,0.40625,0.59375,0.2264223005642974,0.7735776994357013,0.269200643080936,0.7307993569190545
2875.0,0.43928782008377226,0.5607121799162277,0.40625,0.59375,0.2264223005023911,0.7735776994976077,0.2691962788387,0.730803721161291
2880.0,0.4392878200828243,0.5607121799171757,0.40625,0.59375,0.22642230045720882,0.7735776995427901,0.26919216664543916,0.7308078333545515
2885.0,0.4392878200821028,0.5607121799178972,0.40625,0.59375,0.22642230042494282,0.773577699575056,0.26918829368566477,0.7308117063143259
2890.0,0.43928782008156037,0.5607121799184397,0.40625,0.59375,0.22642230040251488,0.7735776995974841,0.26918464767209294,0.730815352327898
2895.0,0.43928782008115796,0.5607121799188421,0.40625,0.59375,0.22642230038746658,0.7735776996125328,0.26918121683271806,0.7308187831672727
2900.0,0.43928782008086353,0.5607121799191366,0.40625,0.59375,0.22642230037785926,0.7735776996221404,0.269177989897512,0.7308220101024792
2905.0,0.43928782008065154,0.5607121799193485,0.40625,0.59375,0.2264223003721834,0.7735776996278165,0.2691749560848165,0.7308250439151746
2910.0,0.43928782008050166,0.5607121799194983,0.40625,0.59375,0.22642230036928002,0.7735776996307204,0.2691721050874951,0.7308278949124961
2915.0,0.4392878200803981,0.5607121799196019,0.40625,0.59375,0.22642230036827188,0.7735776996317282,0.2691694270589195,0.7308305729410711
2920.0,0.4392878200803284,0.5607121799196716,0.40625,0.59375,0.22642230036850658,0.7735776996314931,0.2691669125988362,0.7308330874011539
2925.0,0.4392878200802831,0.5607121799197169,0.40625,0.59375,0.2264223003695075,0.7735776996304925,0.2691645527391802,0.7308354472608106
2930.0,0.4392878200802552,0.5607121799197449,0.40625,0.59375,0.22642230037093403,0.7735776996290661,0.26916233892987423,0.7308376610701164
2935.0,0.43928782008023926,0.5607121799197609,0.40625,0.59375,0.22642230037254968,0.7735776996274498,0.26916026302466495,0.7308397369753262
2940.0,0.4392878200802313,0.5607121799197686,0.40625,0.59375,0.22642230037419617,0.773577699625803,0.26915831726704187,0.7308416827329491
2945.0,0.4392878200802288,0.5607121799197713,0.40625,0.59375,0.22642230037577282,0.7735776996242267,0.26915649427626326,0.7308435057237271
2950.0,0.4392878200802295,0.5607121799197706,0.40625,0.59375,0.22642230037722005,0.7735776996227793,0.2691547870335359,0.7308452129664553
2955.0,0.439287820080232,0.5607121799197681,0.40625,0.59375,0.22642230037850802,0.7735776996214911,0.2691531888683723,0.7308468111316191
2960.0,0.4392878200802354,0.5607121799197645,0.40625,0.59375,0.22642230037962663,0.7735776996203729,0.26915169344515394,0.7308483065548375
2965.0,0.43928782008023926,0.5607121799197607,0.40625,0.59375,0.22642230038057887,0.7735776996194204,0.26915029474992724,0.7308497052500638
2970.0,0.439287820080243,0.5607121799197571,0.40625,0.59375,0.2264223003813757,0.773577699618623,0.2691489870774423,0.7308510129225496
2975.0,0.43928782008024636,0.5607121799197536,0.40625,0.59375,0.2264223003820327,0.7735776996179664,0.26914776501846865,0.7308522349815224
2980.0,0.4392878200802496,0.5607121799197504,0.40625,0.59375,0.22642230038256672,0.7735776996174318,0.26914662344739587,0.7308533765525952
2985.0,0.43928782008025213,0.5607121799197479,0.40625,0.59375,0.22642230038299566,0.7735776996170033,0.26914555751012725,0.7308544424898639
2990.0,0.43928782008025435,0.5607121799197456,0.40625,0.59375,0.22642230038333597,0.7735776996166633,0.26914456261228625,0.7308554373877048
2995.0,0.43928782008025635,0.5607121799197438,0.40625,0.59375,0.2264223003836029,0.773577699616397,0.2691436344077444,0.7308563655922472
3000.0,0.4392878200802577,0.5607121799197423,0.40625,0.59375,0.2264223003838099,0.7735776996161903,0.2691427687874675,0.7308572312125238
3005.0,0.4392878200802588,0.5607121799197412,0.40625,0.59375,0.22642230038396852,0.7735776996160313,0.2691419618687037,0.7308580381312878
3010.0,0.4392878200802599,0.5607121799197401,0.40625,0.59375,0.22642230038408873,0.7735776996159112,0.2691412099844943,0.7308587900154975
3015.0,0.4392878200802608,0.5607121799197393,0.40625,0.59375,0.22642230038417877,0.773577699615821,0.26914050967353736,0.7308594903264544
3020.0,0.43928782008026157,0.5607121799197384,0.40625,0.59375,0.22642230038424532,0.7735776996157544,0.2691398576703745,0.7308601423296175
3025.0,0.4392878200802619,0.5607121799197382,0.40625,0.59375,0.22642230038429384,0.7735776996157053,0.26913925089592566,0.7308607491040665
3030.0,0.4392878200802621,0.5607121799197379,0.40625,0.59375,0.22642230038432876,0.7735776996156706,0.26913868644836275,0.7308613135516295
3035.0,0.4392878200802621,0.5607121799197379,0.40625,0.59375,0.2264223003843532,0.7735776996156458,0.2691381615943085,0.7308618384056832
3040.0,0.4392878200802621,0.5607121799197379,0.40625,0.59375,0.22642230038437025,0.7735776996156287,0.2691376737603711,0.7308623262396207
3045.0,0.4392878200802621,0.5607121799197379,0.40625,0.59375,0.22642230038438185,0.773577699615617,0.26913722052501243,0.7308627794749795
3050.0,0.4392878200802621,0.5607121799197379,0.40625,0.59375,0.22642230038438949,0.7735776996156092,0.2691367996107282,0.7308632003892633
3055.0,0.4392878200802621,0.5607121799197379,0.40625,0.59375,0.22642230038439431,0.7735776996156046,0.2691364088765545,0.7308635911234376
3060.0,0.4392878200802621,0.5607121799197379,0.40625,0.59375,0.22642230038439703,0.773577699615602,0.26913604631087146,0.73086395368912
3065.0,0.4392878200802621,0.5607121799197379,0.40625,0.59375,0.22642230038439853,0.7735776996156005,0.269135710024528,0.7308642899754642
3070.0,0.4392878200802621,0.5607121799197379,0.40625,0.59375,0.22642230038439906,0.7735776996155999,0.2691353982442487,0.7308646017557433
