"time_au","qm_adiabatic","qm_nonadiabatic","cmd","cmd_se","fssh","fssh_se"
"5000","-4.71120698739151E-08","7.0171032908331E-09","0","0","0","0"
"5100","1.97934006035583E-07","4.86367970932805E-08","0","0","0","0"
"5200","3.33984150989022E-07","7.71573481881031E-08","0","0","0","0"
"5300","1.5736208463629E-07","1.10736418988896E-07","0","0","0","0"
"5400","-3.99528864798416E-07","2.84210139131306E-08","0","0","0","0"
"5500","-1.63293319867864E-06","-2.48383293913958E-07","0","0","0","0"
"5600","-4.48883387812549E-06","-1.00298737347914E-06","0","0","0","0"
"5700","-1.0680301774092E-05","-2.82176393858268E-06","0","0","0","0"
"5800","-2.25104256824745E-05","-6.47697992689937E-06","0","0","0","0"
"5900","-4.26130742129975E-05","-1.32735021567529E-05","0","0","0","0"
"6000","-7.36749331697791E-05","-2.49316336593138E-05","0","0","0","0"
"6100","-0.000117918731314523","-4.36610428814657E-05","0","0","0.000108481327425743","7.66311359802629E-05"
"6200","-0.000175986801479809","-7.23528999729005E-05","0","0","0.000108481327425743","7.66311359802629E-05"
"6300","-0.000244949235324847","-0.00011405396337307","0","0","0.000216962654851485","0.000108264147373223"
"6400","-0.000315372877107702","-0.000170889871485724","0","0","0.000325443982277228","0.000132462763879048"
"6500","-0.000367577854456162","-0.000240583173864209","0","0","0.000433925309702971","0.000152800869191578"
"6600","-0.000367281760094947","-0.000308861466864974","0.00219740217923494","0.00126676630419013","0.000650887964554456","0.000186764397190021"
"6700","-0.000260782041568981","-0.000337943883403256","0.00439480435846987","0.00178878075408598","0.000867850619405942","0.000215219954703558"
"6800","3.02264223198518E-05","-0.000253996271535175","0.00585973914462649","0.00206342707953066","0.00135601659282178","0.00026779182026401"
"6900","0.000613932188680869","5.5699394358884E-05","0.00659220653770481","0.00218749152004543","0.00184418256623763","0.000310851535403672"
"7000","0.00163311102219972","0.000720788217695928","0.0109870108961747","0.00281547736989865","0.00260355185821783","0.000366660467629365"
