time,pop1,pop2,pop3,pop1_stderr,pop2_stderr,pop3_stderr
410.0,1.0000000002580427,-2.5804279361422526e-10,-4.403884664346454e-17,0.0,2.555849895824143e-10,4.836844272906474e-17
420.0,1.000000000233524,-2.3352405028228183e-10,-4.2373512106526807e-17,0.0,2.2739649445456063e-10,4.935611049856348e-17
430.0,0.9999999995955174,4.0448238573335497e-10,-3.23815048849004e-17,6.083373583314762e-10,4.12139205966801e-10,5.0413348029224364e-17
440.0,0.9999999974646634,2.5353362970159663e-09,-4.533410683886056e-17,2.7205673729636574e-09,2.5319400900108324e-09,5.055238420577334e-17
450.0,0.9999999927196719,7.280328240266698e-09,-4.2373512106526807e-17,7.197944693858146e-09,7.238120873979593e-09,5.071848148586214e-17
460.0,0.9999999848734866,1.512651329490152e-08,-3.83026943495679e-17,1.5049435106459377e-08,1.5008356242933955e-08,5.116408935722373e-17
470.0,0.9999999762165688,2.378343106309207e-08,-4.3298697960381107e-17,2.3576506547740735e-08,2.357712581262656e-08,5.154388998920794e-17
480.0,0.9999999756886824,2.431131719993207e-08,-3.1086244689504386e-17,2.4165622502903424e-08,2.410845291188033e-08,5.153407123093007e-17
490.0,1.0000000044049475,-4.404947766360283e-09,-3.0716170347962665e-17,4.386783076488896e-09,4.318273591813037e-09,5.138577404186991e-17
500.0,1.0000001016303317,-1.0163033223857069e-07,-3.293661639721298e-17,1.0057639907901526e-07,1.0055864491495635e-07,5.127846635979543e-17
510.0,1.0000003282921093,-3.2829210981244474e-07,-3.0716170347962665e-17,3.253052383724209e-07,3.2529913100691624e-07,5.1105828410809106e-17
520.0,1.0000007631652021,-7.631652027301205e-07,-2.572016673714946e-17,7.573524033418053e-07,7.573494895772216e-07,5.117627617806579e-17
530.0,1.0000014853243129,-1.4853243132291933e-06,-2.794061278639977e-17,1.476803560033036e-06,1.476803589329073e-06,5.12399287892089e-17
540.0,1.0000025362312626,-2.5362312625591223e-06,-2.516505522483688e-17,2.527890244180769e-06,2.5278901949109494e-06,5.223830594894504e-17
550.0,1.00000385679179,-3.856791790210108e-06,-3.497202527569243e-17,3.856724900133885e-06,3.856724529574051e-06,5.28085614532331e-17
560.0,1.0000051993376884,-5.199337688541749e-06,-3.0161058835650086e-17,5.223347303700786e-06,5.223347261717731e-06,5.248289510230478e-17
