time,ehrenfest_pop0,ehrenfest_pop1,fssh_pop0,fssh_pop1,mmst_pop0,mmst_pop1,spinmint_pop0,spinmint_pop1,dvr_pop0,dvr_pop1
2515.0,0.22654012440184873,0.7734598755981528,0.287109375,0.712890625,0.17818419455458256,0.8218158054454173,0.2543891868686373,0.7456108131313628,0.271364776519261,0.7286352234807286
2520.0,0.2265197864908589,0.7734802135091426,0.287109375,0.712890625,0.1781626176399206,0.8218373823600793,0.2543847527888755,0.7456152472111245,0.271300672761342,0.7286993272386472
2525.0,0.22650183463368076,0.7734981653663198,0.287109375,0.712890625,0.17814396921487957,0.8218560307851204,0.2543808190090074,0.7456191809909922,0.27123676383843776,0.7287632361615515
2530.0,0.22648616362182003,0.7735138363781804,0.287109375,0.712890625,0.17812804941767185,0.8218719505823282,0.25437735971322095,0.7456226402867789,0.27117317970834515,0.7288268202916445
2535.0,0.22647263625707875,0.7735273637429214,0.287109375,0.712890625,0.17811463386980653,0.8218853661301934,0.2543743446726758,0.7456256553273239,0.2711100401574919,0.7288899598424976
2540.0,0.22646109337493542,0.7735389066250645,0.287109375,0.712890625,0.17810348456301983,0.8218965154369797,0.2543717408264788,0.7456282591735214,0.2710474552193384,0.7289525447806507
2545.0,0.22645136238007368,0.7735486376199256,0.287109375,0.712890625,0.17809435886089164,0.8219056411391081,0.25436951358386295,0.745630486416137,0.270985525589522,0.7290144744104666
2550.0,0.22644326437018367,0.7735567356298165,0.287109375,0.712890625,0.17808701675257194,0.8219129832474276,0.2543676278798229,0.7456323721201771,0.27092434303683144,0.7290756569631578
2555.0,0.22643661994644443,0.7735633800535555,0.287109375,0.712890625,0.1780812265172092,0.821918773482791,0.25436604901480453,0.7456339509851955,0.27086399080920215,0.7291360091907867
2560.0,0.2264312538246366,0.7735687461753629,0.287109375,0.712890625,0.17807676897035823,0.8219232310296419,0.2543647433070476,0.7456352566929527,0.2708045440339648,0.7291954559660243
2565.0,0.2264269983703533,0.773573001629646,0.287109375,0.712890625,0.17807344046900506,0.8219265595309946,0.25436367858400294,0.7456363214159971,0.2707460701116458,0.7292539298883433
2570.0,0.22642369618613498,0.7735763038138639,0.287109375,0.712890625,0.17807105485111746,0.8219289451488822,0.2543628245369567,0.7456371754630432,0.27068862910267866,0.7293113708973105
2575.0,0.22642120187835155,0.773578798121647,0.287109375,0.712890625,0.1780694444799447,0.8219305555200547,0.25436215296068054,0.7456378470393198,0.2706322741064444,0.7293677258935448
2580.0,0.22641938312811438,0.7735806168718835,0.287109375,0.712890625,0.17806846055379583,0.8219315394462038,0.25436163789765853,0.7456383621023417,0.27057705163212875,0.7294229483678597
2585.0,0.2264181211841887,0.7735818788158094,0.287109375,0.712890625,0.178067972829727,0.8219320271702729,0.2543612557042349,0.7456387442957652,0.2705230019609077,0.7294769980390815
2590.0,0.22641731088750483,0.7735826891124931,0.287109375,0.712890625,0.17806786889538853,0.8219321311046114,0.2543609850539475,0.7456390149460528,0.27047015949906633,0.7295298405009231
2595.0,0.22641686032707686,0.7735831396729203,0.287109375,0.712890625,0.17806805310803037,0.8219319468919694,0.25436080689134954,0.7456391931086502,0.2704185531216846,0.7295814468783051
2600.0,0.22641669021649016,0.7735833097835072,0.287109375,0.712890625,0.17806844530401245,0.8219315546959876,0.2543607043478185,0.7456392956521819,0.270368206506577,0.7296317934934132
2605.0,0.22641673306909807,0.7735832669308994,0.287109375,0.712890625,0.1780689793666842,0.8219310206333157,0.2543606626291799,0.7456393373708196,0.27031913845822336,0.7296808615417663
2610.0,0.2264169322390787,0.7735830677609188,0.287109375,0.712890625,0.1780696017256238,0.8219303982743758,0.2543606688834851,0.7456393311165151,0.27027136322148504,0.7297286367785044
2615.0,0.22641724088485102,0.7735827591151463,0.287109375,0.712890625,0.17807026984630003,0.8219297301536999,0.25436071205590427,0.7456392879440955,0.270224890784915,0.7297751092150739
2620.0,0.22641762090130302,0.7735823790986945,0.287109375,0.712890625,0.17807095075647858,0.8219290492435215,0.2543607827365096,0.7456392172634903,0.27017972717355093,0.7298202728264385
2625.0,0.22641804185800304,0.773581958141994,0.287109375,0.712890625,0.17807161964428891,0.8219283803557109,0.25436087300563603,0.7456391269943642,0.2701358747310945,0.729864125268895
2630.0,0.22641847997218417,0.7735815200278131,0.287109375,0.712890625,0.17807225855287348,0.8219277414471261,0.25436097628058146,0.7456390237194187,0.27009333239141975,0.7299066676085691
2635.0,0.2264189171378633,0.7735810828621336,0.287109375,0.712890625,0.1780728551879725,0.8219271448120272,0.25436108716657907,0.7456389128334211,0.27005209593939966,0.7299479040605897
2640.0,0.22641934002601868,0.7735806599739781,0.287109375,0.712890625,0.17807340184762646,0.8219265981523735,0.2543612013142828,0.7456387986857173,0.27001215826106034,0.7299878417389296
2645.0,0.2264197392652747,0.7735802607347216,0.287109375,0.712890625,0.17807389447731858,0.8219261055226813,0.25436131528539285,0.7456386847146071,0.2699735095831182,0.7300264904168716
2650.0,0.22642010870800428,0.7735798912919931,0.287109375,0.712890625,0.17807433184924346,0.8219256681507561,0.2543614264275443,0.7456385735724556,0.26993613770196845,0.7300638622980211
2655.0,0.226420444783083,0.7735795552169147,0.287109375,0.712890625,0.17807471486084195,0.8219252851391579,0.2543615327591567,0.7456384672408439,0.2699000282022319,0.7300999717977578
2660.0,0.22642074593365039,0.7735792540663469,0.287109375,0.712890625,0.17807504594517326,0.8219249540548264,0.2543616328645829,0.7456383671354172,0.2698651646649809,0.7301348353350089
2665.0,0.2264210121360543,0.7735789878639434,0.287109375,0.712890625,0.1780753285839501,0.8219246714160496,0.2543617257996213,0.7456382742003788,0.2698315288658014,0.7301684711341879
2670.0,0.22642124449460116,0.7735787555053962,0.287109375,0.712890625,0.17807556691302345,0.821924433086976,0.25436181100721145,0.7456381889927887,0.2697991009628631,0.7302008990371264
2675.0,0.2264214449057019,0.7735785550942951,0.287109375,0.712890625,0.17807576540963777,0.821924234590362,0.2543618882429714,0.7456381117570287,0.26976785967516725,0.7302321403248225
2680.0,0.226421615784413,0.7735783842155846,0.287109375,0.712890625,0.17807592865076988,0.8219240713492302,0.25436195751008656,0.745638042489913,0.26973778245121016,0.7302622175487795
2685.0,0.2264217598461403,0.7735782401538578,0.287109375,0.712890625,0.1780760611322049,0.8219239388677949,0.2543620190029732,0.7456379809970267,0.2697088456282496,0.73029115437174
2690.0,0.226421879936328,0.7735781200636702,0.287109375,0.712890625,0.1780761671386044,0.8219238328613957,0.2543620730590679,0.7456379269409324,0.2696810245824298,0.7303189754175602
2695.0,0.22642197890121454,0.7735780210987836,0.287109375,0.712890625,0.17807625065559596,0.8219237493444042,0.25436212011806003,0.7456378798819402,0.26965429387000195,0.7303457061299882
2700.0,0.22642205949316901,0.7735779405068288,0.287109375,0.712890625,0.17807631531579646,0.8219236846842034,0.25436216068786577,0.7456378393121338,0.26962862735989884,0.7303713726400908
2705.0,0.22642212430464193,0.7735778756953557,0.287109375,0.712890625,0.17807636437161933,0.8219236356283806,0.254362195316642,0.7456378046833579,0.2696039983579197,0.7303960016420704
2710.0,0.22642217572536047,0.7735778242746367,0.287109375,0.712890625,0.17807640068865352,0.8219235993113461,0.2543622245701594,0.7456377754298404,0.2695803797228033,0.7304196202771864
2715.0,0.22642221591801642,0.7735777840819806,0.287109375,0.712890625,0.17807642675432314,0.8219235732456766,0.25436224901387616,0.745637750986124,0.26955774397446064,0.7304422560255291
