time,pmatrix_tau_abs_rho01,pmatrix_inf_abs_rho01,ehrenfest_abs_rho01
204.0,0.06501435554798606,0.49999999999999883,0.5000000000000159
206.0,0.0637269850550749,0.4999999999999988,0.500000000000016
208.0,0.06246510620584843,0.4999999999999988,0.5000000000000161
210.0,0.061228214231942496,0.4999999999999988,0.5000000000000163
212.0,0.06001581436007624,0.4999999999999987,0.5000000000000164
214.0,0.05882742161413616,0.4999999999999987,0.5000000000000165
216.0,0.05766256062117922,0.4999999999999987,0.5000000000000167
218.0,0.05652076542127731,0.4999999999999987,0.5000000000000168
220.0,0.05540157928112708,0.49999999999999867,0.5000000000000169
222.0,0.054304554511350515,0.49999999999999867,0.5000000000000172
224.0,0.05322925228741325,0.49999999999999867,0.5000000000000173
226.0,0.05217524247408884,0.49999999999999867,0.5000000000000173
228.0,0.05114210345339902,0.4999999999999986,0.5000000000000174
230.0,0.0501294219559608,0.4999999999999986,0.5000000000000174
232.0,0.04913679289567328,0.4999999999999986,0.5000000000000178
234.0,0.04816381920767776,0.49999999999999856,0.5000000000000179
236.0,0.047210111689526525,0.49999999999999856,0.500000000000018
238.0,0.04627528884549667,0.49999999999999856,0.5000000000000181
240.0,0.04535897673398673,0.49999999999999856,0.5000000000000183
242.0,0.044460808817935044,0.4999999999999985,0.5000000000000184
244.0,0.04358042581820005,0.4999999999999985,0.5000000000000187
246.0,0.04271747556984382,0.49999999999999845,0.5000000000000188
248.0,0.04187161288126145,0.4999999999999985,0.5000000000000189
250.0,0.041042499396099726,0.49999999999999845,0.5000000000000192
252.0,0.04022980345791013,0.49999999999999845,0.5000000000000192
254.0,0.03943319997748183,0.4999999999999984,0.5000000000000193
256.0,0.03865237030280166,0.4999999999999984,0.5000000000000195
258.0,0.03788700209158905,0.49999999999999833,0.5000000000000197
260.0,0.03713678918635499,0.49999999999999833,0.5000000000000198
262.0,0.036401431491934894,0.4999999999999983,0.50000000000002
264.0,0.03568063485544658,0.4999999999999983,0.5000000000000201
266.0,0.034974110948625174,0.49999999999999833,0.5000000000000202
268.0,0.03428157715248797,0.4999999999999983,0.5000000000000204
270.0,0.03360275644428305,0.4999999999999983,0.5000000000000205
272.0,0.03293737728667653,0.4999999999999983,0.5000000000000207
274.0,0.03228517351913395,0.4999999999999983,0.5000000000000209
276.0,0.03164588425145256,0.4999999999999982,0.500000000000021
278.0,0.031019253759401736,0.4999999999999982,0.500000000000021
280.0,0.030405031382429885,0.4999999999999982,0.5000000000000212
282.0,0.029802971423396878,0.4999999999999982,0.5000000000000213
284.0,0.029212833050291927,0.49999999999999817,0.5000000000000215
286.0,0.028634380199897558,0.4999999999999982,0.5000000000000218
288.0,0.028067381483361187,0.4999999999999982,0.5000000000000219
290.0,0.027511610093636483,0.49999999999999817,0.500000000000022
292.0,0.026966843714757542,0.49999999999999817,0.5000000000000221
294.0,0.02643286443290952,0.4999999999999981,0.5000000000000223
296.0,0.025909458649260215,0.49999999999999806,0.5000000000000224
298.0,0.025396416994517664,0.4999999999999981,0.5000000000000226
