time,pmatrix_db_low,pmatrix_db_high,pmatrix_no_db_low,pmatrix_no_db_high,fssh_low,fssh_high,ehrenfest_low,ehrenfest_high,boltzmann_high
1788.0,0.7096709491047233,0.2903290508952768,0.47717092721546533,0.5228290727845346,0.3125,0.6875,0.4565971994904469,0.5434028005095701,0.10859564580706031
1790.0,0.7100141084650262,0.2899858915349739,0.47725533462772673,0.5227446653722733,0.375,0.625,0.4601364094340633,0.5398635905659543,0.10859564580706031
1792.0,0.7103566198511712,0.2896433801488289,0.477339429952486,0.522660570047514,0.375,0.625,0.46367080720625387,0.5363291927937641,0.10859564580706031
1794.0,0.7106984844867245,0.28930151551327565,0.4774232143436985,0.5225767856563015,0.375,0.625,0.4672001100838754,0.5327998899161424,0.10859564580706031
1796.0,0.7110397035929413,0.2889602964070587,0.477506688951052,0.522493311048948,0.375,0.625,0.47072403575187355,0.5292759642481444,0.10859564580706031
1798.0,0.7113802783887707,0.28861972161122934,0.47758985491998257,0.5224101450800175,0.375,0.625,0.4742423023258633,0.5257576976741546,0.10859564580706031
1800.0,0.7117202100908593,0.2882797899091408,0.4776727133916902,0.5223272866083098,0.375,0.625,0.4777546283746744,0.5222453716253432,0.10859564580706031
1802.0,0.7120594999135559,0.28794050008644423,0.47775526550315456,0.5222447344968455,0.40625,0.59375,0.4812607329428612,0.5187392670571568,0.10859564580706031
1804.0,0.712398149068916,0.28760185093108415,0.4778375123871506,0.5221624876128494,0.40625,0.59375,0.48476033557317366,0.5152396644268439,0.10859564580706031
1806.0,0.7127361587667059,0.2872638412332942,0.4779194551722641,0.522080544827736,0.40625,0.59375,0.48825315632898875,0.5117468436710286,0.10859564580706031
1808.0,0.7130735302144072,0.2869264697855928,0.4780010949829071,0.521998905017093,0.40625,0.59375,0.4917389158166997,0.508261084183318,0.10859564580706031
1810.0,0.7134102646172211,0.2865897353827789,0.47808243293933345,0.5219175670606665,0.40625,0.59375,0.4952173352080618,0.5047826647919559,0.10859564580706031
1812.0,0.7137463631780725,0.28625363682192745,0.4781634701576545,0.5218365298423456,0.40625,0.59375,0.49868813626249286,0.5013118637375251,0.10859564580706031
1814.0,0.7140818270976146,0.2859181729023854,0.47824420774985343,0.5217557922501467,0.40625,0.59375,0.5021510413493261,0.4978489586506917,0.10859564580706031
1816.0,0.7144166575742329,0.2855833424257671,0.47832464682380177,0.5216753531761983,0.40625,0.59375,0.505605773470015,0.49439422653000287,0.10859564580706031
1818.0,0.7147508558040498,0.28524914419595016,0.47840478848327384,0.5215952115167262,0.40625,0.59375,0.5090520562802867,0.49094794371973083,0.10859564580706031
1820.0,0.7150844229809288,0.28491557701907116,0.47848463382796214,0.5215153661720379,0.40625,0.59375,0.5124896141122427,0.4875103858877744,0.10859564580706031
1822.0,0.7154173602964785,0.2845826397035215,0.4785641839534924,0.5214358160465076,0.46875,0.53125,0.5159181719964065,0.4840818280036105,0.10859564580706031
1824.0,0.7157496689400572,0.2842503310599428,0.47864343995143865,0.5213565600485613,0.5,0.5,0.5193374556837136,0.4806625443163032,0.10859564580706031
1826.0,0.7160813500987769,0.28391864990122306,0.4787224029093383,0.5212775970906617,0.5,0.5,0.5227471916674442,0.47725280833257255,0.10859564580706031
1828.0,0.7164124049575079,0.28358759504249204,0.478801073910707,0.521198926089293,0.5,0.5,0.5261471072050983,0.4738528927949187,0.10859564580706031
