time,ehrenfest_pop1,ehrenfest_pop2,ehrenfest_pop3,fssh_pop1,fssh_pop2,fssh_pop3,spinmint_pop1,spinmint_pop2,spinmint_pop3,dvr_pop1,dvr_pop2,dvr_pop3
1380.0,0.6670407523920651,0.3329515177524655,7.729855468702294e-06,0.6533333333333333,0.3466666666666667,0.0,0.6562324183394417,0.3437675389107767,4.274978145600655e-08,0.6867046313541086,0.31328014517449676,1.5223471373060706e-05
1390.0,0.6577501739169601,0.34222974195880396,2.00841242352837e-05,0.6533333333333333,0.3466666666666667,0.0,0.6531814538851394,0.34681844796617334,9.814868822863596e-08,0.680206349069844,0.31977477133906623,1.887959106771423e-05
1400.0,0.6486502288938282,0.3513017702141712,4.800089200018414e-05,0.65,0.35,0.0,0.6509961466749625,0.3490036365699462,2.167550914115213e-07,0.6740414109479153,0.3259352813782145,2.3307673848184214e-05
1410.0,0.6397877972620305,0.36010920517407913,0.00010299756389079887,0.6466666666666666,0.35333333333333333,0.0,0.6496087549261991,0.35039078423908737,4.608347137321383e-07,0.6682211301728426,0.33175022261660136,2.8647210534197743e-05
1420.0,0.631225169664236,0.3685822316991989,0.00019259863656516667,0.64,0.36,0.0,0.6488863229515212,0.35111273317021,9.438782689840561e-07,0.6627545099681753,0.3372104318323253,3.505819947805627e-05
1430.0,0.6230225181357422,0.3766689251136497,0.0003085567506077962,0.6366666666666667,0.36333333333333334,0.0,0.6486272757522188,0.3513708606816012,1.8635661800824836e-06,0.6576482469211025,0.34230902974497124,4.272333390416758e-05
1440.0,0.6152278021729998,0.3843435195534185,0.00042867827358234123,0.6333333333333333,0.36666666666666664,0.0,0.648593322438979,0.35140312893820874,3.5486228121124834e-06,0.6529067706986155,0.3470413789798973,5.185032146601094e-05
1450.0,0.6078553884519522,0.39160999141233815,0.0005346201357100228,0.6233333333333333,0.37666666666666665,0.0,0.6485792279469992,0.35141425198679227,6.5200662084346785e-06,0.6485323140066598,0.35140501164429255,6.2674349025905e-05
1460.0,0.6009035173533424,0.3984749777187677,0.0006215049278908389,0.6266666666666667,0.37333333333333335,0.0,0.6484842049497018,0.35150423231734457,1.1562732953334728e-05,0.6445250049842884,0.35539953430688415,7.546070880578948e-05
1470.0,0.5943551907178127,0.4049491492013137,0.0006956600808736759,0.6266666666666667,0.37333333333333335,0.0,0.6483338084454101,0.3516463974047456,1.9794149844233352e-05,0.6408829732444535,0.35902651915439515,9.050760112952569e-05
1480.0,0.5881886347715067,0.411040051085371,0.0007713141431224025,0.6266666666666667,0.37333333333333335,0.0,0.6482333035727834,0.35173399466168004,3.270176553709755e-05,0.637602460628008,0.3622893902497957,0.0001081491221745075
1490.0,0.5823795838046883,0.4167511864281356,0.0008692297671758814,0.62,0.38,0.0,0.648286207724359,0.35166170240115296,5.2089874488086635e-05,0.6346779285054283,0.36519331306305597,0.0001287584314943785
1500.0,0.5768945689332686,0.4220932873568201,0.0010121437099114372,0.6133333333333333,0.38666666666666666,0.0,0.6485363510170734,0.3513838238971439,7.982508578314837e-05,0.6321021551004985,0.36774509382560955,0.0001527510738707131
1510.0,0.5716935647568899,0.4270957092398409,0.0012107260032694343,0.6066666666666667,0.3933333333333333,0.0,0.6489619468004911,0.3509208456884927,0.00011720751101602719,0.629866318652467,0.3699530929423485,0.00018058840516303013
1520.0,0.5667507578487619,0.43179956112422124,0.001449681027016888,0.6,0.4,0.0,0.6494969721111119,0.3503391422549289,0.00016388563395906396,0.6279600650123439,0.3718271539419339,0.0002127810457002919
1530.0,0.5620803205465916,0.4362234097496187,0.001696269703789762,0.6066666666666667,0.3933333333333333,0.0,0.6500440620355434,0.34973895814709005,0.0002169798173661328,0.6263715611745908,0.3733785465632382,0.00024989226214937175
1540.0,0.5577406599648554,0.4403311282732446,0.0019282117618998266,0.6033333333333334,0.39666666666666667,0.0,0.6504820740905284,0.34924556286237995,0.00027236304709171456,0.6250875389706562,0.37461991986415033,0.0002925411651724498
1550.0,0.5537953799552935,0.4440537664600539,0.002150853584653128,0.6,0.39666666666666667,0.0033333333333333335,0.6506926170742304,0.34897914930164275,0.0003282336241269269,0.624093335421385,0.37556525896780885,0.0003414056107851163
1560.0,0.5502727408682877,0.4473344923263043,0.0023927668054085343,0.5966666666666667,0.4,0.0033333333333333335,0.650600105344352,0.3490129731809653,0.00038692147468260424,0.6233729378348533,0.37622983745314453,0.00039722471198121845
1570.0,0.5471630378894519,0.450146724619388,0.0026902374911600396,0.5933333333333334,0.4033333333333333,0.0033333333333333335,0.6501942403919474,0.349349451905055,0.0004563077029967309,0.6229090424784455,0.37663015661642574,0.0004608009051071758
