R,E1,E2,E3,V11,V22,V33,V12,V13,V23,nac12,nac13,nac23,abs_nac12,abs_nac13,abs_nac23
1.9344672336168085,0.05300654377275131,0.3696992602011812,0.530878790382992,0.05300654377275131,0.3696992602011812,0.530878790382992,7.083934284631346e-33,4.3825738576106025e-131,0.0,-2.098031262832143e-30,9.215036536153521e-129,4.707439268954932e-99,2.098031262832143e-30,9.215036536153521e-129,4.707439268954932e-99
1.9376688344172086,0.052856464953837876,0.36780705120934204,0.5285944701570572,0.052856464953837876,0.36780705120934204,0.5285944701570572,9.561959661261567e-33,8.160425295806009e-131,0.0,-2.8413857364384858e-30,1.7235527217808223e-128,6.491692440412998e-99,2.8413857364384858e-30,1.7235527217808223e-128,6.491692440412998e-99
1.940870435217609,0.052706919530384325,0.3659236155787389,0.5263200012537157,0.052706919530384325,0.3659236155787389,0.5263200012537157,1.2898356806974313e-32,1.5184882613327964e-130,0.0,-3.845592956771457e-30,3.2215685416360627e-128,8.9522297878178e-99,3.845592956771457e-30,3.2215685416360627e-128,8.9522297878178e-99
1.944072036018009,0.052557905946638644,0.36404891496930575,0.5240553420003864,0.052557905946638644,0.36404891496930575,0.5240553420003864,1.7387492753831588e-32,2.8237430852535025e-130,0.0,-5.201292866233936e-30,6.017629864140522e-128,1.234538339621441e-98,5.201292866233936e-30,6.017629864140522e-128,1.234538339621441e-98
1.9472736368184091,0.052409422651073304,0.3621829112041705,0.5218004508991463,0.052409422651073304,0.3621829112041705,0.5218004508991463,2.3423653407629285e-32,5.2475189772459035e-130,0.0,-7.030305192089921e-30,1.123308020610496e-127,1.702464315908155e-98,7.030305192089921e-30,1.123308020610496e-127,1.702464315908155e-98
1.9504752376188095,0.05226146809637401,0.36032556626896844,0.5195552866259958,0.05226146809637401,0.36032556626896844,0.5195552866259958,3.153460537158596e-32,9.745361443456595e-130,0.0,-9.496245308257559e-30,2.0954994031799835e-127,2.3477482684668366e-98,9.496245308257559e-30,2.0954994031799835e-127,2.3477482684668366e-98
1.9536768384192096,0.05211404073942896,0.35847684231115956,0.5173198080301384,0.05211404073942896,0.35847684231115956,0.5173198080301384,4.24263102711113e-32,1.8086601939589072e-129,0.0,-1.2818716609868404e-29,3.906533174500056e-127,3.2376143426581825e-98,1.2818716609868404e-29,3.906533174500056e-127,3.2376143426581825e-98
1.95687843921961,0.051967139041317334,0.35663670163934813,0.5150939741332562,0.051967139041317334,0.35663670163934813,0.5150939741332562,5.704245688515906e-32,3.354525562709485e-129,0.0,-1.7292271395176835e-29,7.277978795466173e-127,4.4647667674769446e-98,1.7292271395176835e-29,7.277978795466173e-127,4.4647667674769446e-98
1.96008004002001,0.05182076146729861,0.35480510672260523,0.5128777441287894,0.05182076146729861,0.35480510672260523,0.5128777441287894,7.664366745215379e-32,6.217564895110924e-129,0.0,-2.3311725147236765e-29,1.3550188895402371e-126,6.15704763764138e-98,2.3311725147236765e-29,1.3550188895402371e-126,6.15704763764138e-98
1.9632816408204103,0.05167490648680145,0.3529820201897946,0.5106710773812199,0.05167490648680145,0.3529820201897946,0.5106710773812199,1.0291280815267494e-31,1.1516609572415221e-128,0.0,-3.140593004670636e-29,2.5211298115653918e-126,8.490755318208092e-98,3.140593004670636e-29,2.5211298115653918e-126,8.490755318208092e-98
