time,rpmd_correlation,exact_kubo,error
4.0875000000,-0.0247829197,-0.0250274302,0.0002445105
4.1062500000,-0.0233123939,-0.0235548862,0.0002424923
4.1250000000,-0.0217107974,-0.0219499080,0.0002391107
4.1437500000,-0.0199871348,-0.0202215195,0.0002343847
4.1625000000,-0.0181510973,-0.0183794382,0.0002283409
4.1812500000,-0.0162130077,-0.0164340211,0.0002210133
4.2000000000,-0.0141837627,-0.0143962059,0.0002124431
4.2187500000,-0.0120747715,-0.0122774499,0.0002026785
4.2375000000,-0.0098978914,-0.0100896657,0.0001917743
4.2562500000,-0.0076653618,-0.0078451538,0.0001797919
4.2750000000,-0.0053897348,-0.0055565335,0.0001667987
4.2937500000,-0.0030838047,-0.0032366723,0.0001528676
4.3125000000,-0.0007605364,-0.0008986134,0.0001380771
4.3312500000,0.0015670080,0.0014444978,0.0001225102
4.3500000000,0.0038857420,0.0037794875,0.0001062546
4.3687500000,0.0061826291,0.0060932276,0.0000894015
4.3875000000,0.0084447551,0.0083727093,0.0000720458
4.4062500000,0.0106594016,0.0106051166,0.0000542850
4.4250000000,0.0128141172,0.0127778981,0.0000362190
4.4437500000,0.0148967870,0.0148788376,0.0000179494
4.4625000000,0.0168957018,0.0168961229,-0.0000004211
4.4812500000,0.0187996227,0.0188184120,-0.0000187893
4.5000000000,0.0205978453,0.0206348971,-0.0000370518
4.5187500000,0.0222802594,0.0223353654,-0.0000551060
4.5375000000,0.0238374057,0.0239102561,-0.0000728504
4.5562500000,0.0252605295,0.0253507146,-0.0000901852
4.5750000000,0.0265416293,0.0266486423,-0.0001070129
4.5937500000,0.0276735025,0.0277967415,-0.0001232390
4.6125000000,0.0286497852,0.0287885574,-0.0001387722
4.6312500000,0.0294649884,0.0296185135,-0.0001535251
4.6500000000,0.0301145286,0.0302819435,-0.0001674149
4.6687500000,0.0305947541,0.0307751175,-0.0001803634
4.6875000000,0.0309029647,0.0310952625,-0.0001922978
4.7062500000,0.0310374276,0.0312405787,-0.0002031511
4.7250000000,0.0309973868,0.0312102490,-0.0002128622
4.7437500000,0.0307830674,0.0310044439,-0.0002213765
4.7625000000,0.0303956744,0.0306243205,-0.0002286461
4.7812500000,0.0298373859,0.0300720161,-0.0002346302
4.8000000000,0.0291113407,0.0293506358,-0.0002392951
4.8187500000,0.0282216210,0.0284642356,-0.0002426147
4.8375000000,0.0271732290,0.0274177992,-0.0002445701
4.8562500000,0.0259720593,0.0262172098,-0.0002451505
4.8750000000,0.0246248652,0.0248692178,-0.0002443526
4.8937500000,0.0231392212,0.0233814020,-0.0002421808
4.9125000000,0.0215234800,0.0217621274,-0.0002386474
4.9312500000,0.0197867261,0.0200204983,-0.0002337722
4.9500000000,0.0179387239,0.0181663066,-0.0002275827
4.9687500000,0.0159898637,0.0162099774,-0.0002201136
4.9875000000,0.0139511027,0.0141625097,-0.0002114070
5.0062500000,0.0118339035,0.0120354153,-0.0002015118
5.0250000000,0.0096501698,0.0098406534,-0.0001904836
5.0437500000,0.0074121793,0.0075905637,-0.0001783844
5.0625000000,0.0051325149,0.0052977972,-0.0001652823
