T_K,beads,dt_au,seed,time_fs,kappa
200.0,32,4.0,2,87.37010091600001,0.994140625
200.0,32,4.0,2,89.40196372800001,0.994140625
200.0,32,4.0,2,91.43382654000001,0.994140625
200.0,32,4.0,2,93.46568935200001,0.994140625
200.0,32,4.0,2,95.49755216400001,0.994140625
200.0,32,4.0,2,97.52941497600001,0.994140625
200.0,32,4.0,2,99.56127778800001,0.994140625
200.0,32,4.0,2,101.59314060000001,0.994140625
200.0,32,4.0,2,103.62500341200001,0.994140625
200.0,32,4.0,2,105.65686622400001,0.994140625
200.0,32,4.0,2,107.68872903600001,0.994140625
200.0,32,4.0,2,109.72059184800001,0.994140625
200.0,32,4.0,2,111.75245466000001,0.994140625
200.0,32,4.0,2,113.78431747200001,0.994140625
200.0,32,4.0,2,115.81618028400001,0.994140625
200.0,32,4.0,2,117.84804309600001,0.994140625
200.0,32,4.0,2,119.87990590800001,0.994140625
200.0,32,4.0,3,0.0,1.0
200.0,32,4.0,3,2.031862812,1.0
200.0,32,4.0,3,4.063725624,0.9970703125
200.0,32,4.0,3,6.095588436000001,0.9931640625
200.0,32,4.0,3,8.127451248,0.9931640625
200.0,32,4.0,3,10.15931406,0.9921875
200.0,32,4.0,3,12.191176872000002,0.9912109375
200.0,32,4.0,3,14.223039684000002,0.9873046875
200.0,32,4.0,3,16.254902496,0.9873046875
200.0,32,4.0,3,18.286765308,0.9873046875
200.0,32,4.0,3,20.31862812,0.9873046875
200.0,32,4.0,3,22.350490932000003,0.9873046875
200.0,32,4.0,3,24.382353744000003,0.9873046875
200.0,32,4.0,3,26.414216556000003,0.9873046875
200.0,32,4.0,3,28.446079368000003,0.9873046875
200.0,32,4.0,3,30.477942180000003,0.9873046875
200.0,32,4.0,3,32.509804992,0.9873046875
200.0,32,4.0,3,34.541667804,0.9873046875
200.0,32,4.0,3,36.573530616,0.9873046875
200.0,32,4.0,3,38.605393428,0.9873046875
200.0,32,4.0,3,40.63725624,0.9873046875
200.0,32,4.0,3,42.669119052,0.9873046875
200.0,32,4.0,3,44.700981864000006,0.9873046875
200.0,32,4.0,3,46.732844676000006,0.9873046875
200.0,32,4.0,3,48.764707488000006,0.9873046875
200.0,32,4.0,3,50.796570300000006,0.9873046875
200.0,32,4.0,3,52.828433112000006,0.9873046875
200.0,32,4.0,3,54.860295924000006,0.9873046875
200.0,32,4.0,3,56.892158736000006,0.9873046875
200.0,32,4.0,3,58.924021548000006,0.9873046875
200.0,32,4.0,3,60.955884360000006,0.9873046875
200.0,32,4.0,3,62.987747172000006,0.9873046875
200.0,32,4.0,3,65.019609984,0.9873046875
200.0,32,4.0,3,67.051472796,0.9873046875
200.0,32,4.0,3,69.083335608,0.9873046875
200.0,32,4.0,3,71.11519842,0.9873046875
200.0,32,4.0,3,73.147061232,0.9873046875
200.0,32,4.0,3,75.178924044,0.9873046875
200.0,32,4.0,3,77.210786856,0.9873046875
200.0,32,4.0,3,79.242649668,0.9873046875
200.0,32,4.0,3,81.27451248,0.9873046875
200.0,32,4.0,3,83.306375292,0.9873046875
200.0,32,4.0,3,85.338238104,0.9873046875
200.0,32,4.0,3,87.37010091600001,0.9873046875
200.0,32,4.0,3,89.40196372800001,0.9873046875
200.0,32,4.0,3,91.43382654000001,0.9873046875
200.0,32,4.0,3,93.46568935200001,0.9873046875
200.0,32,4.0,3,95.49755216400001,0.9873046875
200.0,32,4.0,3,97.52941497600001,0.9873046875
200.0,32,4.0,3,99.56127778800001,0.9873046875
200.0,32,4.0,3,101.59314060000001,0.9873046875
200.0,32,4.0,3,103.62500341200001,0.9873046875
200.0,32,4.0,3,105.65686622400001,0.9873046875
200.0,32,4.0,3,107.68872903600001,0.9873046875
200.0,32,4.0,3,109.72059184800001,0.9873046875
200.0,32,4.0,3,111.75245466000001,0.9873046875
200.0,32,4.0,3,113.78431747200001,0.9873046875
200.0,32,4.0,3,115.81618028400001,0.9873046875
200.0,32,4.0,3,117.84804309600001,0.9873046875
200.0,32,4.0,3,119.87990590800001,0.9873046875
200.0,64,4.0,0,0.0,1.0
200.0,64,4.0,0,2.031862812,0.9990234375
200.0,64,4.0,0,4.063725624,0.99609375
200.0,64,4.0,0,6.095588436000001,0.994140625
200.0,64,4.0,0,8.127451248,0.9951171875
200.0,64,4.0,0,10.15931406,0.9931640625
200.0,64,4.0,0,12.191176872000002,0.9931640625
200.0,64,4.0,0,14.223039684000002,0.9931640625
200.0,64,4.0,0,16.254902496,0.9921875
200.0,64,4.0,0,18.286765308,0.9912109375
200.0,64,4.0,0,20.31862812,0.9921875
200.0,64,4.0,0,22.350490932000003,0.9931640625
200.0,64,4.0,0,24.382353744000003,0.9931640625
200.0,64,4.0,0,26.414216556000003,0.9931640625
200.0,64,4.0,0,28.446079368000003,0.9931640625
200.0,64,4.0,0,30.477942180000003,0.9921875
200.0,64,4.0,0,32.509804992,0.9912109375
200.0,64,4.0,0,34.541667804,0.9912109375
200.0,64,4.0,0,36.573530616,0.9912109375
200.0,64,4.0,0,38.605393428,0.9912109375
200.0,64,4.0,0,40.63725624,0.9912109375
200.0,64,4.0,0,42.669119052,0.9921875
200.0,64,4.0,0,44.700981864000006,0.9921875
200.0,64,4.0,0,46.732844676000006,0.9921875
200.0,64,4.0,0,48.764707488000006,0.9921875
200.0,64,4.0,0,50.796570300000006,0.9921875
200.0,64,4.0,0,52.828433112000006,0.9921875
200.0,64,4.0,0,54.860295924000006,0.9921875
200.0,64,4.0,0,56.892158736000006,0.9921875
200.0,64,4.0,0,58.924021548000006,0.9921875
200.0,64,4.0,0,60.955884360000006,0.9921875
200.0,64,4.0,0,62.987747172000006,0.9921875
200.0,64,4.0,0,65.019609984,0.9921875
200.0,64,4.0,0,67.051472796,0.9912109375
200.0,64,4.0,0,69.083335608,0.9912109375
200.0,64,4.0,0,71.11519842,0.9912109375
200.0,64,4.0,0,73.147061232,0.9912109375
200.0,64,4.0,0,75.178924044,0.9912109375
200.0,64,4.0,0,77.210786856,0.9912109375
200.0,64,4.0,0,79.242649668,0.9912109375
200.0,64,4.0,0,81.27451248,0.9912109375
200.0,64,4.0,0,83.306375292,0.9912109375
