time,scaled_ground_population
1.451247165532879808e+04,5.104615384615385221e-01
1.473922902494330992e+04,5.167076923076923123e-01
1.496598639455782359e+04,5.229538461538461025e-01
1.519274376417233725e+04,5.287692307692307692e-01
1.541950113378684728e+04,5.345846153846154358e-01
1.564625850340136094e+04,5.399692307692307569e-01
1.587301587301587278e+04,5.451384615384614607e-01
1.609977324263038645e+04,5.500923076923076582e-01
1.632653061224489647e+04,5.550461538461537447e-01
1.655328798185941196e+04,5.595692307692307077e-01
1.678004535147392380e+04,5.640923076923076707e-01
1.700680272108843565e+04,5.686153846153846336e-01
1.723356009070294749e+04,5.729230769230769793e-01
1.746031746031745934e+04,5.772307692307692140e-01
1.768707482993197118e+04,5.811076923076923251e-01
1.791383219954648666e+04,5.849846153846154362e-01
1.814058956916099851e+04,5.888615384615384363e-01
1.836734693877551035e+04,5.923076923076923128e-01
1.859410430839002220e+04,5.957538461538461894e-01
1.882086167800453404e+04,5.991999999999999549e-01
1.904761904761904589e+04,6.024307692307692141e-01
1.927437641723356137e+04,6.054461538461537451e-01
1.950113378684807321e+04,6.084615384615383871e-01
1.972789115646258506e+04,6.112615384615384118e-01
1.995464852607709690e+04,6.140615384615384365e-01
2.018140589569160875e+04,6.168615384615383501e-01
2.040816326530612423e+04,6.194461538461537575e-01
2.063492063492063244e+04,6.220307692307691649e-01
2.086167800453514792e+04,6.243999999999999551e-01
2.108843537414965976e+04,6.269846153846153625e-01
2.131519274376417161e+04,6.293538461538461526e-01
2.154195011337868709e+04,6.317230769230769427e-01
2.176870748299319530e+04,6.340923076923077328e-01
2.199546485260771078e+04,6.362461538461539057e-01
2.222222222222222263e+04,6.381846153846154612e-01
2.244897959183673447e+04,6.399076923076922885e-01
2.267573696145124995e+04,6.416307692307692268e-01
2.290249433106575816e+04,6.433538461538461650e-01
2.312925170068027364e+04,6.452923076923077206e-01
2.335600907029478549e+04,6.472307692307692761e-01
2.358276643990929733e+04,6.489538461538462144e-01
2.380952380952380918e+04,6.506769230769231527e-01
2.403628117913832102e+04,6.524000000000000909e-01
2.426303854875283650e+04,6.539076923076923009e-01
2.448979591836734471e+04,6.552000000000000046e-01
2.471655328798186019e+04,6.569230769230769429e-01
2.494331065759637204e+04,6.584307692307691529e-01
2.517006802721088388e+04,6.597230769230768566e-01
2.539682539682539573e+04,6.612307692307692886e-01
2.562358276643991121e+04,6.625230769230769923e-01
2.585034013605442306e+04,6.638153846153846960e-01
2.607709750566893490e+04,6.648923076923076714e-01
2.630385487528344311e+04,6.661846153846153751e-01
2.653061224489796223e+04,6.672615384615384615e-01
2.675736961451247043e+04,6.685538461538461652e-01
2.698412698412698228e+04,6.696307692307691406e-01
2.721088435374149776e+04,6.709230769230768443e-01
2.743764172335600961e+04,6.719999999999999307e-01
2.766439909297052145e+04,6.730769230769230171e-01
2.789115646258503330e+04,6.741538461538461036e-01
2.811791383219954878e+04,6.752307692307691900e-01
2.834467120181406062e+04,6.760923076923076591e-01
2.857142857142856883e+04,6.771692307692307455e-01
2.879818594104308795e+04,6.780307692307692147e-01
2.902494331065759616e+04,6.788923076923075728e-01
2.925170068027210800e+04,6.797538461538460419e-01
2.947845804988661985e+04,6.806153846153845111e-01
2.970521541950113533e+04,6.812615384615383629e-01
2.993197278911564717e+04,6.821230769230768320e-01
3.015873015873015538e+04,6.829846153846153012e-01
3.038548752834467450e+04,6.838461538461537703e-01
3.061224489795918271e+04,6.847076923076922395e-01
3.083900226757369455e+04,6.855692307692307086e-01
3.106575963718820640e+04,6.864307692307691777e-01
3.129251700680272188e+04,6.870769230769230296e-01
3.151927437641723373e+04,6.877230769230768814e-01
3.174603174603174557e+04,6.885846153846153506e-01
3.197278911564626105e+04,6.892307692307692024e-01
3.219954648526077290e+04,6.898769230769230543e-01
3.242630385487528110e+04,6.905230769230769061e-01
3.265306122448979295e+04,6.911692307692307580e-01
3.287981859410431207e+04,6.915999999999999925e-01
3.310657596371882391e+04,6.922461538461538444e-01
3.333333333333332848e+04,6.928923076923076962e-01
3.356009070294784760e+04,6.935384615384615481e-01
3.378684807256235945e+04,6.939692307692307827e-01
3.401360544217687129e+04,6.946153846153846345e-01
3.424036281179138314e+04,6.952615384615384864e-01
3.446712018140589498e+04,6.956923076923077209e-01
3.469387755102040683e+04,6.961230769230769555e-01
3.492063492063491867e+04,6.967692307692308074e-01
3.514739229024943779e+04,6.972000000000000419e-01
3.537414965986394236e+04,6.976307692307692765e-01
3.560090702947845421e+04,6.980615384615385111e-01
3.582766439909297333e+04,6.984923076923076346e-01
3.605442176870748517e+04,6.989230769230768692e-01
3.628117913832199702e+04,6.993538461538461037e-01
3.650793650793650886e+04,6.997846153846153383e-01
3.673469387755102071e+04,7.002153846153845729e-01
3.696145124716553255e+04,7.006461538461538074e-01
3.718820861678004439e+04,7.010769230769230420e-01
3.741496598639456352e+04,7.015076923076922766e-01
3.764172335600906808e+04,7.019384615384615111e-01
3.786848072562357993e+04,7.023692307692307457e-01
3.809523809523809177e+04,7.027999999999999803e-01
3.832199546485261089e+04,7.030153846153845976e-01
3.854875283446712274e+04,7.034461538461538321e-01
3.877551020408163458e+04,7.036615384615384494e-01
3.900226757369614643e+04,7.038769230769230667e-01
3.922902494331065827e+04,7.043076923076923013e-01
3.945578231292517012e+04,7.047384615384615358e-01
3.968253968253968196e+04,7.049538461538461531e-01
3.990929705215419381e+04,7.051692307692307704e-01
4.013605442176870565e+04,7.056000000000000050e-01
4.036281179138321750e+04,7.058153846153846223e-01
4.058956916099773662e+04,7.060307692307692395e-01
4.081632653061224846e+04,7.064615384615384741e-01
4.104308390022676031e+04,7.068923076923077087e-01
4.126984126984126488e+04,7.071076923076923260e-01
4.149659863945578400e+04,7.073230769230769432e-01
4.172335600907029584e+04,7.075384615384615605e-01
4.195011337868480769e+04,7.077538461538461778e-01
4.217687074829931953e+04,7.079692307692307951e-01
4.240362811791383137e+04,7.081846153846154124e-01
4.263038548752834322e+04,7.086153846153846469e-01
4.285714285714285506e+04,7.090461538461538815e-01
4.308390022675737418e+04,7.092615384615384988e-01
4.331065759637187875e+04,7.094769230769231161e-01
4.353741496598639060e+04,7.096923076923077334e-01
4.376417233560090972e+04,7.099076923076923507e-01
4.399092970521542156e+04,7.101230769230769679e-01
4.421768707482993341e+04,7.103384615384615852e-01
4.444444444444444525e+04,7.105538461538462025e-01
4.467120181405895710e+04,7.109846153846153261e-01
4.489795918367346894e+04,7.112000000000000544e-01
4.512471655328798079e+04,7.114153846153845606e-01
4.535147392290249991e+04,7.116307692307690669e-01
4.557823129251700448e+04,7.118461538461537952e-01
4.580498866213151632e+04,7.118461538461537952e-01
4.603174603174602817e+04,7.120615384615384125e-01
4.625850340136054729e+04,7.122769230769230298e-01
