wavenumber_cm-1,n,k,alpha_cm-1,nalpha_cm-1
231.41375,1.5520805,0.39280832,1142.2987,1772.9396
232.37798,1.5515906,0.39044818,1140.1664,1769.0715
233.34222,1.5511203,0.3881169,1138.0615,1765.2703
234.30645,1.5507314,0.38583091,1136.0335,1761.6828
235.27068,1.5503411,0.38355863,1133.9906,1758.0722
236.23492,1.5500426,0.38131401,1131.9747,1754.609
237.19915,1.5497564,0.37909696,1129.9866,1751.204
238.16338,1.5495433,0.37692308,1128.074,1747.9995
239.12762,1.5493236,0.37475064,1126.113,1744.7135
240.09185,1.549224,0.37261108,1124.1986,1741.6355
241.05608,1.5491103,0.37052169,1122.3844,1738.6972
242.02032,1.5490719,0.36845195,1120.5792,1735.8578
242.98455,1.5490501,0.36641428,1118.8218,1733.111
243.94879,1.549108,0.36441293,1117.1264,1730.5494
244.91302,1.5491617,0.36246279,1115.54,1728.1519
245.87725,1.549284,0.36053562,1113.9774,1725.8674
246.84149,1.5494087,0.35864043,1112.4673,1723.6665
247.80572,1.549621,0.35678437,1111.0331,1721.6803
248.76995,1.5498211,0.35498276,1109.7242,1719.874
249.73419,1.5500865,0.35320923,1108.4597,1718.2084
250.69842,1.5503505,0.35147834,1107.2866,1716.6823
251.66265,1.550684,0.34978855,1106.2014,1715.3689
252.62689,1.5510021,0.34815061,1105.24,1714.2296
253.59112,1.5513721,0.3465409,1104.3288,1713.2249
254.55536,1.5517467,0.34496781,1103.4958,1712.346
255.51959,1.5521746,0.34343582,1102.7566,1711.6707
256.48382,1.5526032,0.3419576,1102.1535,1711.2072
257.44806,1.5530653,0.34051183,1101.6197,1710.8873
258.41229,1.5535413,0.3391127,1101.2022,1710.7631
259.37652,1.5540441,0.33775613,1100.8896,1710.831
260.34076,1.5545498,0.33644924,1100.7066,1711.1033
261.30499,1.5550729,0.33517307,1100.5928,1711.5021
262.26922,1.5556077,0.33393714,1100.5808,1712.0719
263.23346,1.5561702,0.33274141,1100.6717,1712.8325
264.19769,1.5567201,0.33159429,1100.8951,1713.7855
265.16193,1.5573094,0.33047909,1101.197,1714.9044
266.12616,1.5578793,0.3294068,1101.6154,1716.1838
267.09039,1.5584887,0.32837519,1102.1443,1717.6795
268.05463,1.559081,0.32738808,1102.7982,1719.3516
269.01886,1.5596839,0.32643098,1103.5295,1721.1572
269.98309,1.5602915,0.32550973,1104.3593,1723.1225
270.94733,1.560915,0.32462534,1105.2923,1725.2674
271.91156,1.5615345,0.3237859,1106.3575,1727.6154
272.87579,1.5621738,0.32297948,1107.5155,1730.1317
273.84003,1.5627921,0.32221502,1108.7984,1732.8213
274.80426,1.5634373,0.32149109,1110.2027,1735.7323
275.7685,1.5640603,0.32080749,1111.7292,1738.8115
276.73273,1.5646871,0.32015404,1113.344,1742.035
277.69696,1.5653086,0.31953993,1115.0803,1745.4447
278.6612,1.5659388,0.31896377,1116.9345,1749.0511
279.62543,1.5665323,0.31842145,1118.8938,1752.7832
280.58966,1.5671445,0.31790498,1120.931,1756.6608
