beta,Cv_no_GP_over_kB,Cv_GP_over_kB
3.031663326653306623e+00,5.867166522225968350e-01,4.120139203535809758e-01
3.070941883767535074e+00,5.912644428194133717e-01,4.072776162286513291e-01
3.110220440881763526e+00,5.958731086227432305e-01,4.024589345963859310e-01
3.149498997995991978e+00,6.005351566592812551e-01,3.975637333580612776e-01
3.188777555110220430e+00,6.052430326051030374e-01,3.925978868751222040e-01
3.228056112224448881e+00,6.099891481323932441e-01,3.875672631887148167e-01
3.267334669338677333e+00,6.147659068126722914e-01,3.824777029209530665e-01
3.306613226452905785e+00,6.195657285491563693e-01,3.773349998482461443e-01
3.345891783567134237e+00,6.243810725244850479e-01,3.721448831232429533e-01
3.385170340681362688e+00,6.292044586619502944e-01,3.669130011102668121e-01
3.424448897795591140e+00,6.340284876086966781e-01,3.616449067893732217e-01
3.463727454909819592e+00,6.388458592582820783e-01,3.563460446761820277e-01
3.503006012024048044e+00,6.436493898375814648e-01,3.510217391982529689e-01
3.542284569138276495e+00,6.484320275894384089e-01,3.456771844638223956e-01
3.581563126252504947e+00,6.531868670878160366e-01,3.403174353550525999e-01
3.620841683366733399e+00,6.579071622265855179e-01,3.349473998754062265e-01
3.660120240480961851e+00,6.625863379266166975e-01,3.295718326792184127e-01
3.699398797595190302e+00,6.672180006086008142e-01,3.241953297108543519e-01
3.738677354709418754e+00,6.717959474811304732e-01,3.188223238809132498e-01
3.777955911823647206e+00,6.763141746950409594e-01,3.134570817076335891e-01
3.817234468937875658e+00,6.807668844160108534e-01,3.081037008529005639e-01
3.856513026052104109e+00,6.851484908679161823e-01,3.027661084839289862e-01
3.895791583166332561e+00,6.894536253995755537e-01,2.974480603937476042e-01
3.935070140280561013e+00,6.936771406272950191e-01,2.921531408159449006e-01
3.974348697394789465e+00,6.978141137051300236e-01,2.868847628716981735e-01
4.013627254509017916e+00,7.018598487740197456e-01,2.816461695898425655e-01
4.052905811623246812e+00,7.058098786400022195e-01,2.764404354435826550e-01
4.092184368737474820e+00,7.096599657305840969e-01,2.712704683503838754e-01
4.131462925851703716e+00,7.134061023770694732e-01,2.661390120845360530e-01
4.170741482965932612e+00,7.170445104692730887e-01,2.610486490548626914e-01
4.210020040080160619e+00,7.205716405275652825e-01,2.560018034029905576e-01
4.249298597194389515e+00,7.239841702356564213e-01,2.510007443805046812e-01
4.288577154308617523e+00,7.272790024759300254e-01,2.460475899661562216e-01
4.327855711422846419e+00,7.304532629075203287e-01,2.411443106870530262e-01
4.367134268537074426e+00,7.335042971256641176e-01,2.362927336104393150e-01
4.406412825651303322e+00,7.364296674392122322e-01,2.314945464752415916e-01
4.445691382765531330e+00,7.392271493015272199e-01,2.267513019350286818e-01
4.484969939879760226e+00,7.418947274283481663e-01,2.220644218863838393e-01
4.524248496993988233e+00,7.444305916345763663e-01,2.174352018589306157e-01
4.563527054108217129e+00,7.468331324203346666e-01,2.128648154453699759e-01
4.602805611222445137e+00,7.491009363350725758e-01,2.083543187518988871e-01
4.642084168336674033e+00,7.512327811469619032e-01,2.039046548512581380e-01
4.681362725450902040e+00,7.532276308433084600e-01,1.995166582224397189e-01
4.720641282565130936e+00,7.550846304862555147e-01,1.951910591627338543e-01
4.759919839679358944e+00,7.568031009466298364e-01,1.909284881593552308e-01
4.799198396793587840e+00,7.583825335374017040e-01,1.867294802093216743e-01
4.838476953907815847e+00,7.598225845669041023e-01,1.825944790776097004e-01
4.877755511022044743e+00,7.611230698306691300e-01,1.785238414848439592e-01
4.917034068136272751e+00,7.622839590595037462e-01,1.745178412169369753e-01
4.956312625250501647e+00,7.633053703402356005e-01,1.705766731501448252e-01
4.995591182364729654e+00,7.641875645244133874e-01,1.667004571859884710e-01
5.034869739478958550e+00,7.649309396391584803e-01,1.628892420913768957e-01
5.074148296593186558e+00,7.655360253133014492e-01,1.591430092400926422e-01
5.113426853707415454e+00,7.660034772309479711e-01,1.554616762525435070e-01
5.152705410821643461e+00,7.663340716236453076e-01,1.518451005313664059e-01
5.191983967935872357e+00,7.665286998114173578e-01,1.482930826910857369e-01
5.231262525050100365e+00,7.665883628020591090e-01,1.448053698805890632e-01
5.270541082164329261e+00,7.665141659572562993e-01,1.413816589976830129e-01
5.309819639278557268e+00,7.663073137333039631e-01,1.380215997954526430e-01
5.349098196392786164e+00,7.659691045034585644e-01,1.347247978805437563e-01
5.388376753507014172e+00,7.655009254682437758e-01,1.314908176038612764e-01
5.427655310621243068e+00,7.649042476593634898e-01,1.283191848444874550e-01
5.466933867735471964e+00,7.641806210422447121e-01,1.252093896879173940e-01
5.506212424849699971e+00,7.633316697216310232e-01,1.221608889999526576e-01
5.545490981963928867e+00,7.623590872540912944e-01,1.191731088978166264e-01
5.584769539078156875e+00,7.612646320707697756e-01,1.162454471202424289e-01
5.624048096192385771e+00,7.600501230132187258e-01,1.133772752984470861e-01
5.663326653306613778e+00,7.587174349846725896e-01,1.105679411300455606e-01
5.702605210420842674e+00,7.572684947186993920e-01,1.078167704580724751e-01
5.741883767535070682e+00,7.557052766667508026e-01,1.051230692573784237e-01
5.781162324649299578e+00,7.540297990057424071e-01,1.024861255307418229e-01
5.820440881763527585e+00,7.522441197664585522e-01,9.990521111710311264e-02
5.859719438877756481e+00,7.503503330832265172e-01,9.737958341437004395e-02
5.898997995991984489e+00,7.483505655650110056e-01,9.490848701927945275e-02
5.938276553106213385e+00,7.462469727877879544e-01,9.249115528681819964e-02
5.977555110220441392e+00,7.440417359077978743e-01,9.012681181171910971e-02
6.016833667334670288e+00,7.417370583950393392e-01,8.781467183454455538e-02
6.056112224448898296e+00,7.393351628861338787e-01,8.555394357486573176e-02
6.095390781563127192e+00,7.368382881554965680e-01,8.334382949402466267e-02
6.134669338677355199e+00,7.342486862035614292e-01,8.118352748994846213e-02
6.173947895791584095e+00,7.315686194606323411e-01,7.907223202645186078e-02
6.213226452905812103e+00,7.288003581047938217e-01,7.700913519943386465e-02
6.252505010020040999e+00,7.259461774921587285e-01,7.499342774233246078e-02
6.291783567134269006e+00,7.230083556976225623e-01,7.302429997316302324e-02
6.331062124248497902e+00,7.199891711641771552e-01,7.110094268541637674e-02
6.370340681362725910e+00,7.168909004587334932e-01,6.922254798504803852e-02
6.409619238476954806e+00,7.137158161323325922e-01,6.738831007573618803e-02
6.448897795591182813e+00,7.104661846825320870e-01,6.559742599453712020e-02
6.488176352705411709e+00,7.071442646157048983e-01,6.384909630000962233e-02
6.527454909819639717e+00,7.037523046069265042e-01,6.214252571482735410e-02
6.566733466933868613e+00,7.002925417550850407e-01,6.047692372484111262e-02
6.606012024048096620e+00,6.967671999308072683e-01,5.885150513649757553e-02
6.645290581162325516e+00,6.931784882147780102e-01,5.726549059446354312e-02
6.684569138276553524e+00,6.895285994239903626e-01,5.571810706124907808e-02
6.723847695390782420e+00,6.858197087234720879e-01,5.420858826056564744e-02
6.763126252505010427e+00,6.820539723210096161e-01,5.273617508610033144e-02
6.802404809619239323e+00,6.782335262423978550e-01,5.130011597732972439e-02
6.841683366733467331e+00,6.743604851847504467e-01,4.989966726394451380e-02
6.880961923847696227e+00,6.704369414454035558e-01,4.853409348039870036e-02
6.920240480961924234e+00,6.664649639239779155e-01,4.720266765204649689e-02
6.959519038076153130e+00,6.624465971951647436e-01,4.590467155427502277e-02
6.998797595190381138e+00,6.583838606498333412e-01,4.463939594599139471e-02
7.038076152304610034e+00,6.542787477020834963e-01,4.340614077877028021e-02
7.077354709418838041e+00,6.501332250598943485e-01,4.220421538292036534e-02
7.116633266533066937e+00,6.459492320570471291e-01,4.103293863167820077e-02
7.155911823647294945e+00,6.417286800440460404e-01,3.989163908469210706e-02
7.195190380761523841e+00,6.374734518357870749e-01,3.877965511191171916e-02
7.234468937875751848e+00,6.331854012137722032e-01,3.769633499895531925e-02
7.273747494989980744e+00,6.288663524806974436e-01,3.664103703498187287e-02
7.313026052104208752e+00,6.245181000653011738e-01,3.561312958405436074e-02
7.352304609218437648e+00,6.201424081753837969e-01,3.461199114093835988e-02
7.391583166332665655e+00,6.157410104969713860e-01,3.363701037224117729e-02
7.430861723446894551e+00,6.113156099376321206e-01,3.268758614375738558e-02
7.470140280561122559e+00,6.068678784120059566e-01,3.176312753485021484e-02
7.509418837675351455e+00,6.023994566676519336e-01,3.086305384066119137e-02
7.548697394789579462e+00,5.979119541493691514e-01,2.998679456290648596e-02
7.587975951903808358e+00,5.934069489001922992e-01,2.913378938998359077e-02
7.627254509018036366e+00,5.888859874973140229e-01,2.830348816708042059e-02
7.666533066132265262e+00,5.843505850212317165e-01,2.749535085694682079e-02
7.705811623246493269e+00,5.798022250564683899e-01,2.670884749195844010e-02
7.745090180360722165e+00,5.752423597222637852e-01,2.594345811807333146e-02
7.784368737474950173e+00,5.706724097316784317e-01,2.519867273125420484e-02
7.823647294589179069e+00,5.660937644776047328e-01,2.447399120690112867e-02
7.862925851703407076e+00,5.615077821442256978e-01,2.376892322281452807e-02
7.902204408817635972e+00,5.569157898425038944e-01,2.308298817618187337e-02
7.941482965931864868e+00,5.523190837683394916e-01,2.241571509505882465e-02
7.980761523046092876e+00,5.477189293820718952e-01,2.176664254479097546e-02
8.020040080160320883e+00,5.431165616080505520e-01,2.113531852980089776e-02
8.059318637274548891e+00,5.385131850530456843e-01,2.052130039114368615e-02
8.098597194388778675e+00,5.339099742423069062e-01,1.992415470021325144e-02
8.137875751503006683e+00,5.293080738721313017e-01,1.934345714896241325e-02
8.177154308617234690e+00,5.247085990778311837e-01,1.877879243698023920e-02
8.216432865731462698e+00,5.201126357160477109e-01,1.822975415575294605e-02
8.255711422845692482e+00,5.155212406603865150e-01,1.769594467041619296e-02
8.294989979959920490e+00,5.109354421093921239e-01,1.717697499929088378e-02
8.334268537074148497e+00,5.063562399059241548e-01,1.667246469147785903e-02
8.373547094188376505e+00,5.017846058670265563e-01,1.618204170277228252e-02
8.412825651302606289e+00,4.972214841234255389e-01,1.570534227014352621e-02
8.452104208416834297e+00,4.926677914678221359e-01,1.524201078501249799e-02
8.491382765531062304e+00,4.881244177111840332e-01,1.479169966554484163e-02
8.530661322645292088e+00,4.835922260462744982e-01,1.435406922816606472e-02
8.569939879759520096e+00,4.790720534176913237e-01,1.392878755849214119e-02
8.609218436873748104e+00,4.745647108977114059e-01,1.351553038185730402e-02
8.648496993987976111e+00,4.700709840672853135e-01,1.311398093361024718e-02
8.687775551102205895e+00,4.655916334015398061e-01,1.272382982933874078e-02
8.727054108216433903e+00,4.611273946591856188e-01,1.234477493517285515e-02
8.766332665330661911e+00,4.566789792752490307e-01,1.197652123830710014e-02
8.805611222444889918e+00,4.522470747565854876e-01,1.161878071787293167e-02
8.844889779559119702e+00,4.478323450796451444e-01,1.127127221628397916e-02
8.884168336673347710e+00,4.434354310899977780e-01,1.093372131116819405e-02
8.923446893787575718e+00,4.390569509031431172e-01,1.060586018799291284e-02
8.962725450901803725e+00,4.346975003061612775e-01,1.028742751348171204e-02
9.002004008016033509e+00,4.303576531597773092e-01,9.978168309914230497e-03
9.041282565130261517e+00,4.260379618004407343e-01,9.677833830393740150e-03
9.080561122244489525e+00,4.217389574420365439e-01,9.386181435160208600e-03
9.119839679358717532e+00,4.174611505768735520e-01,9.102974469021094320e-03
9.159118236472947316e+00,4.132050313756082671e-01,8.827982139965641351e-03
9.198396793587175324e+00,4.089710700857884240e-01,8.560979399023276037e-03
9.237675350701403332e+00,4.047597174287111410e-01,8.301746821421067055e-03
9.276953907815631339e+00,4.005714049943189248e-01,8.050070489090659781e-03
9.316232464929861123e+00,3.964065456338669580e-01,7.805741874569934423e-03
9.355511022044089131e+00,3.922655338501112032e-01,7.568557726340414959e-03
9.394789579158317139e+00,3.881487461847876186e-01,7.338319955636947445e-03
9.434068136272545146e+00,3.840565416031662127e-01,7.114835524762533683e-03
9.473346693386774930e+00,3.799892618754758811e-01,6.897916336936974445e-03
9.512625250501002938e+00,3.759472319550147268e-01,6.687379127704743721e-03
9.551903807615230946e+00,3.719307603527669537e-01,6.483045357923816233e-03
9.591182364729458953e+00,3.679401395083724546e-01,6.284741108354278613e-03
9.630460921843688737e+00,3.639756461572914437e-01,6.092296975862334166e-03
9.669739478957916745e+00,3.600375416940354567e-01,5.905547971252539038e-03
9.709018036072144753e+00,3.561260725313308839e-01,5.724333418738404046e-03
9.748296593186372760e+00,3.522414704551074527e-01,5.548496857059101624e-03
9.787575150300602544e+00,3.483839529752019715e-01,5.377885942247516773e-03
9.826853707414830552e+00,3.445537236716857965e-01,5.212352352052791390e-03
9.866132264529058560e+00,3.407509725367281472e-01,5.051751692018256225e-03
9.905410821643286567e+00,3.369758763119216072e-01,4.895943403214018420e-03
9.944689378757516351e+00,3.332285988209994776e-01,4.744790671621292900e-03
9.983967935871744359e+00,3.295092912978894173e-01,4.598160339164191097e-03
1.002324649298597237e+01,3.258180927100454150e-01,4.455922816382816565e-03
1.006252505010020037e+01,3.221551300770187365e-01,4.317951996740307906e-03
1.010180360721443016e+01,3.185205187842296559e-01,4.184125172554916880e-03
1.014108216432865817e+01,3.149143628919064408e-01,4.054322952547036001e-03
1.018036072144288617e+01,3.113367554391683889e-01,3.928429180989787169e-03
1.021963927855711418e+01,3.077877787432355405e-01,3.806330858450937635e-03
1.025891783567134397e+01,3.042675046937501349e-01,3.687918064112621994e-03
