beta,Cv_no_GP_over_kB,Cv_GP_over_kB
1.548296593186372938e+01,5.198052222389398791e-02,4.524196763665743539e-05
1.552224448897795739e+01,5.123028773219348575e-02,4.372036242417708996e-05
1.556152304609218540e+01,5.049020163101376052e-02,4.224939166066127495e-05
1.560080160320641340e+01,4.976014094386608383e-02,4.082739143187841355e-05
1.564008016032064319e+01,4.903998386671487575e-02,3.945275168084999112e-05
1.567935871743487120e+01,4.832960976462024466e-02,3.812391449677344043e-05
1.571863727454909920e+01,4.762889916814655455e-02,3.683937245703934930e-05
1.575791583166332721e+01,4.693773376954659543e-02,3.559766702074726170e-05
1.579719438877755699e+01,4.625599641872947532e-02,3.439738697216757627e-05
1.583647294589178500e+01,4.558357111902096304e-02,3.323716691264405956e-05
1.587575150300601301e+01,4.492034302272419205e-02,3.211568579947300320e-05
1.591503006012024102e+01,4.426619842648909370e-02,3.103166553033978370e-05
1.595430861723447080e+01,4.362102476649815097e-02,2.998386957193277812e-05
1.599358717434869881e+01,4.298471061347598071e-02,2.897110163139584560e-05
1.603286573146292682e+01,4.235714566753019661e-02,2.799220436931881337e-05
1.607214428857715305e+01,4.173822075283088739e-02,2.704605815300450139e-05
1.611142284569138283e+01,4.112782781213534383e-02,2.613157984878609696e-05
1.615070140280561262e+01,4.052585990116550768e-02,2.524772165220654633e-05
1.618997995991983885e+01,3.993221118284379784e-02,2.439346995490417671e-05
1.622925851703406863e+01,3.934677692139450234e-02,2.356784424708447290e-05
1.626853707414829842e+01,3.876945347631701594e-02,2.276989605449107897e-05
1.630781563126252465e+01,3.820013829623656459e-02,2.199870790881888378e-05
1.634709418837675443e+01,3.763872991263848833e-02,2.125339235054564600e-05
1.638637274549098066e+01,3.708512793349232062e-02,2.053309096318841603e-05
1.642565130260521045e+01,3.653923303677041046e-02,1.983697343801836831e-05
1.646492985971943668e+01,3.600094696386761661e-02,1.916423666830001046e-05
1.650420841683366646e+01,3.547017251292613332e-02,1.851410387214418192e-05
1.654348697394789625e+01,3.494681353207180347e-02,1.788582374309550654e-05
1.658276553106212248e+01,3.443077491256607559e-02,1.727866962759770148e-05
1.662204408817635226e+01,3.392196258187866326e-02,1.669193872850763288e-05
1.666132264529058205e+01,3.342028349668615950e-02,1.612495133385378565e-05
1.670060120240480828e+01,3.292564563580027692e-02,1.557705007005738716e-05
1.673987975951903806e+01,3.243795799303078597e-02,1.504759917885938769e-05
1.677915831663326429e+01,3.195713056998764068e-02,1.453598381721885922e-05
1.681843687374749408e+01,3.148307436882558791e-02,1.404160937946920775e-05
1.685771543086172386e+01,3.101570138493659270e-02,1.356390084104228541e-05
1.689699398797595009e+01,3.055492459959281704e-02,1.310230212308884791e-05
1.693627254509017988e+01,3.010065797254471431e-02,1.265627547734573359e-05
1.697555110220440966e+01,2.965281643457800750e-02,1.222530089061947514e-05
1.701482965931863589e+01,2.921131588003259005e-02,1.180887550827414244e-05
1.705410821643286567e+01,2.877607315928716256e-02,1.140651307613078482e-05
1.709338677354709191e+01,2.834700607121353258e-02,1.101774340020382014e-05
1.713266533066132169e+01,2.792403335560250319e-02,1.064211182371585586e-05
1.717194388777555147e+01,2.750707468556623861e-02,1.027917872085135501e-05
1.721122244488977771e+01,2.709605065991861628e-02,9.928519006724108577e-06
1.725050100200400749e+01,2.669088279553760365e-02,9.589721663050565514e-06
1.728977955911823727e+01,2.629149351971225845e-02,9.262389279036565781e-06
1.732905811623246350e+01,2.589780616247679829e-02,8.946137606999226167e-06
1.736833667334669329e+01,2.550974494893488986e-02,8.640595132261045004e-06
1.740761523046091952e+01,2.512723499157681895e-02,8.345402656867698080e-06
1.744689378757514930e+01,2.475020228259141794e-02,8.060212896693490133e-06
1.748617234468937909e+01,2.437857368617616857e-02,7.784690091513466218e-06
1.752545090180360532e+01,2.401227693084700271e-02,7.518509627632606107e-06
1.756472945891783510e+01,2.365124060175042425e-02,7.261357672676035027e-06
1.760400801603206489e+01,2.329539413298037723e-02,7.012930822156238207e-06
1.764328657314629112e+01,2.294466779990171970e-02,6.772935757444584716e-06
1.768256513026052090e+01,2.259899271148211458e-02,6.541088914786505833e-06
1.772184368737474713e+01,2.225830080263517530e-02,6.317116165010780322e-06
1.776112224448897692e+01,2.192252482657571291e-02,6.100752503593561163e-06
1.780040080160320670e+01,2.159159834718983595e-02,5.891741750749239497e-06
1.783967935871743293e+01,2.126545573142120393e-02,5.689836261229436095e-06
1.787895791583166272e+01,2.094403214167503760e-02,5.494796643521890133e-06
1.791823647294589250e+01,2.062726352824223452e-02,5.306391488150567057e-06
1.795751503006011873e+01,2.031508662174431878e-02,5.124397104787098687e-06
1.799679358717434852e+01,2.000743892560120571e-02,4.948597267893139360e-06
1.803607214428857830e+01,1.970425870852346439e-02,4.778782970621983646e-06
1.807535070140280453e+01,1.940548499702995575e-02,4.614752186715746482e-06
1.811462925851703432e+01,1.911105756799254263e-02,4.456309640143097147e-06
1.815390781563126055e+01,1.882091694120935355e-02,4.303266582230495514e-06
1.819318637274549033e+01,1.853500437200723133e-02,4.155440576047097438e-06
1.823246492985972012e+01,1.825326184387539644e-02,4.012655287811724210e-06
1.827174348697394635e+01,1.797563206113075157e-02,3.874740285096837738e-06
1.831102204408817613e+01,1.770205844161628489e-02,3.741530841611951288e-06
1.835030060120240591e+01,1.743248510943377211e-02,3.612867748355702236e-06
1.838957915831663215e+01,1.716685688771137433e-02,3.488597130932101216e-06
1.842885771543086193e+01,1.690511929140736669e-02,3.368570272833232638e-06
1.846813627254508816e+01,1.664721852015108028e-02,3.252643444496870414e-06
1.850741482965931795e+01,1.639310145112141820e-02,3.140677737953123698e-06
1.854669338677354773e+01,1.614271563196445144e-02,3.032538906880705548e-06
1.858597194388777396e+01,1.589600927375030628e-02,2.928097211898417475e-06
1.862525050100200374e+01,1.565293124397042906e-02,2.827227270923395762e-06
1.866452905811623353e+01,1.541343105957598304e-02,2.729807914432872178e-06
1.870380761523045976e+01,1.517745888005785429e-02,2.635722045471194105e-06
1.874308617234468954e+01,1.494496550056898833e-02,2.544856504249022772e-06
1.878236472945891578e+01,1.471590234508994219e-02,2.457101937186536862e-06
1.882164328657314556e+01,1.449022145963768486e-02,2.372352670256824607e-06
1.886092184368737534e+01,1.426787550551889862e-02,2.290506586490692424e-06
1.890020040080160157e+01,1.404881775262760597e-02,2.211465007508030598e-06
1.893947895791583136e+01,1.383300207278805212e-02,2.135132578945494085e-06
1.897875751503006114e+01,1.362038293314332162e-02,2.061417159654331215e-06
1.901803607214428737e+01,1.341091538958976738e-02,1.990229714546025413e-06
1.905731462925851716e+01,1.320455508025794762e-02,1.921484210967517716e-06
1.909659318637274339e+01,1.300125821904048011e-02,1.855097518491513451e-06
1.913587174348697317e+01,1.280098158916681723e-02,1.790989312010823034e-06
1.917515030060120296e+01,1.260368253682576933e-02,1.729081978029562877e-06
1.921442885771542919e+01,1.240931896483558027e-02,1.669300524047126631e-06
1.925370741482965897e+01,1.221784932636208951e-02,1.611572490934388835e-06
1.929298597194388876e+01,1.202923261868534162e-02,1.555827868204761822e-06
1.933226452905811499e+01,1.184342837701454418e-02,1.501999012085757631e-06
1.937154308617234477e+01,1.166039666835173849e-02,1.450020566299807681e-06
1.941082164328657100e+01,1.148009808540459073e-02,1.399829385466071092e-06
1.945010020040080079e+01,1.130249374054796349e-02,1.351364461037579498e-06
1.948937875751503057e+01,1.112754525983498596e-02,1.304566849691105927e-06
1.952865731462925680e+01,1.095521477705723758e-02,1.259379604089520038e-06
1.956793587174348659e+01,1.078546492785442679e-02,1.215747705939144819e-06
1.960721442885771637e+01,1.061825884387372458e-02,1.173618001267101303e-06
1.964649298597194260e+01,1.045356014697852720e-02,1.132939137845935165e-06
1.968577154308617239e+01,1.029133294350689960e-02,1.093661504695265306e-06
1.972505010020039862e+01,1.013154181857977079e-02,1.055737173592469230e-06
1.976432865731462840e+01,9.974151830458737045e-03,1.019119842526459450e-06
1.980360721442885819e+01,9.819128504953653427e-03,9.837647810309601606e-07
1.984288577154308442e+01,9.666437829879817589e-03,9.496287773355247567e-07
1.988216432865731420e+01,9.516046249564846446e-03,9.166700872746706163e-07
1.992144288577154398e+01,9.367920659405247485e-03,8.848483848974148375e-07
1.996072144288577022e+01,9.222028400472453979e-03,8.541247147212795523e-07
2.000000000000000000e+01,9.078337254168377876e-03,8.244614455767396644e-07
