beta,E_no_GP,Cv_no_GP_over_kB,E_GP,Cv_GP_over_kB
9.473346693386774930e+00,8.616690342757840973e-03,3.799892618754758811e-01,1.250768677960300002e-01,6.897916336936974445e-03
9.512625250501002938e+00,8.451947030802955257e-03,3.759472319550147268e-01,1.250739072858558232e-01,6.687379127704743721e-03
9.551903807615230946e+00,8.290300394890526975e-03,3.719307603527669537e-01,1.250710607895942073e-01,6.483045357923816233e-03
9.591182364729458953e+00,8.131694235534085366e-03,3.679401395083724546e-01,1.250683239170010674e-01,6.284741108354278613e-03
9.630460921843688737e+00,7.976073297179255353e-03,3.639756461572914437e-01,1.250656924468377951e-01,6.092296975862334166e-03
9.669739478957916745e+00,7.823383255249789781e-03,3.600375416940354567e-01,1.250631623203688481e-01,5.905547971252539038e-03
9.709018036072144753e+00,7.673570703256237316e-03,3.561260725313308839e-01,1.250607296351091136e-01,5.724333418738404046e-03
9.748296593186372760e+00,7.526583139972384262e-03,3.522414704551074527e-01,1.250583906388116340e-01,5.548496857059101624e-03
9.787575150300602544e+00,7.382368956684116738e-03,3.483839529752019715e-01,1.250561417236865647e-01,5.377885942247516773e-03
9.826853707414830552e+00,7.240877424515227388e-03,3.445537236716857965e-01,1.250539794208422040e-01,5.212352352052791390e-03
9.866132264529058560e+00,7.102058681834301328e-03,3.407509725367281472e-01,1.250519003949399355e-01,5.051751692018256225e-03
9.905410821643286567e+00,6.965863721746698954e-03,3.369758763119216072e-01,1.250499014390544505e-01,4.895943403214018420e-03
9.944689378757516351e+00,6.832244379675320167e-03,3.332285988209994776e-01,1.250479794697318681e-01,4.744790671621292900e-03
9.983967935871744359e+00,6.701153321033642869e-03,3.295092912978894173e-01,1.250461315222377023e-01,4.598160339164191097e-03
1.002324649298597237e+01,6.572544028994197277e-03,3.258180927100454150e-01,1.250443547459875737e-01,4.455922816382816565e-03
1.006252505010020037e+01,6.446370792355634108e-03,3.221551300770187365e-01,1.250426464001538618e-01,4.317951996740307906e-03
1.010180360721443016e+01,6.322588693511130981e-03,3.185205187842296559e-01,1.250410038494410847e-01,4.184125172554916880e-03
1.014108216432865817e+01,6.201153596520774663e-03,3.149143628919064408e-01,1.250394245600238985e-01,4.054322952547036001e-03
1.018036072144288617e+01,6.082022135290288817e-03,3.113367554391683889e-01,1.250379060956412769e-01,3.928429180989787169e-03
1.021963927855711418e+01,5.965151701858457771e-03,3.077877787432355405e-01,1.250364461138410987e-01,3.806330858450937635e-03
1.025891783567134397e+01,5.850500434795187499e-03,3.042675046937501349e-01,1.250350423623689533e-01,3.687918064112621994e-03
1.029819639278557197e+01,5.738027207712181367e-03,3.007759950422036477e-01,1.250336926756960565e-01,3.573083879654633758e-03
1.033747494989979998e+01,5.627691617887837887e-03,2.973133016864638045e-01,1.250323949716807825e-01,3.461724314686053482e-03
1.037675350701402799e+01,5.519453975008068759e-03,2.938794669504081192e-01,1.250311472483583985e-01,3.353738233709378444e-03
1.041603206412825777e+01,5.413275290024313104e-03,2.904745238586664002e-01,1.250299475808545890e-01,3.249027284600403392e-03
1.045531062124248578e+01,5.309117264130120036e-03,2.870984964064855482e-01,1.250287941184176355e-01,3.147495828586658207e-03
1.049458917835671379e+01,5.206942277857310071e-03,2.837513998247291891e-01,1.250276850815647545e-01,3.049050871706422087e-03
1.053386773547094357e+01,5.106713380292807365e-03,2.804332408400330712e-01,1.250266187593382927e-01,2.953601997730044993e-03
1.057314629258517158e+01,5.008394278416935554e-03,2.771440179301356554e-01,1.250255935066674762e-01,2.861061302524634496e-03
1.061242484969939959e+01,4.911949326563935271e-03,2.738837215744109876e-01,1.250246077418317725e-01,2.771343329842820922e-03
1.065170340681362759e+01,4.817343516005307899e-03,2.706523344996302760e-01,1.250236599440218421e-01,2.684365008516006665e-03
1.069098196392785738e+01,4.724542464656534581e-03,2.674498319209857033e-01,1.250227486509941643e-01,2.600045591032085733e-03
1.073026052104208539e+01,4.633512406907533930e-03,2.642761817784081702e-01,1.250218724568163686e-01,2.518306593477412283e-03
1.076953907815631339e+01,4.544220183577139457e-03,2.611313449682143295e-01,1.250210300096988025e-01,2.439071736822479887e-03
1.080881763527054140e+01,4.456633231991870801e-03,2.580152755701259903e-01,1.250202200099100880e-01,2.362266889530697817e-03
1.084809619238477119e+01,4.370719576189046468e-03,2.549279210696968057e-01,1.250194412077724748e-01,2.287820011469360489e-03
1.088737474949899919e+01,4.286447817244293593e-03,2.518692225761935410e-01,1.250186924017346324e-01,2.215661099101865449e-03
1.092665330661322720e+01,4.203787123723364515e-03,2.488391150359727522e-01,1.250179724365184653e-01,2.145722131940068760e-03
1.096593186372745521e+01,4.122707222258164758e-03,2.458375274414024703e-01,1.250172802013374829e-01,2.077937020235694383e-03
1.100521042084168499e+01,4.043178388246737413e-03,2.428643830353732491e-01,1.250166146281833646e-01,2.012241553889573212e-03
1.104448897795591300e+01,3.965171436676957588e-03,2.399195995114508928e-01,1.250159746901789437e-01,1.948573352557565709e-03
1.108376753507014101e+01,3.888657713073526232e-03,2.370030892097176878e-01,1.250153593999942803e-01,1.886871816931942700e-03
1.112304609218436902e+01,3.813609084567925502e-03,2.341147593083570677e-01,1.250147678083237679e-01,1.827078081177157219e-03
1.116232464929859880e+01,3.739997931090778376e-03,2.312545120110312546e-01,1.250141990024219996e-01,1.769134966498876272e-03
1.120160320641282681e+01,3.667797136686157169e-03,2.284222447301085812e-01,1.250136521046957827e-01,1.712986935825313401e-03
1.124088176352705482e+01,3.596980080947166994e-03,2.256178502657907869e-01,1.250131262713506386e-01,1.658580049579924795e-03
1.128016032064128282e+01,3.527520630572251667e-03,2.228412169811987975e-01,1.250126206910890658e-01,1.605861922524730962e-03
1.131943887775551261e+01,3.459393131041479160e-03,2.200922289734709159e-01,1.250121345838593190e-01,1.554781681653578506e-03
1.135871743486974061e+01,3.392572398412100135e-03,2.173707662409299357e-01,1.250116671996520101e-01,1.505289925114862903e-03
1.139799599198396862e+01,3.327033711232592426e-03,2.146767048463754102e-01,1.250112178173431732e-01,1.457338682143335387e-03
1.143727454909819663e+01,3.262752802574404344e-03,2.120099170765591401e-01,1.250107857435820702e-01,1.410881373980862451e-03
1.147655310621242641e+01,3.199705852180513392e-03,2.093702715978995321e-01,1.250103703117213527e-01,1.365872775766131418e-03
1.151583166332665442e+01,3.137869478729969890e-03,2.067576336084948896e-01,1.250099708807890231e-01,1.322268979373517972e-03
1.155511022044088243e+01,3.077220732217433689e-03,2.041718649864896207e-01,1.250095868344993644e-01,1.280027357181522628e-03
1.159438877755511044e+01,3.017737086446848748e-03,2.016128244348559251e-01,1.250092175803024230e-01,1.239106526751430470e-03
1.163366733466934022e+01,2.959396431638209105e-03,1.990803676226432506e-01,1.250088625484699068e-01,1.199466316397030698e-03
1.167294589178356823e+01,2.902177067146478190e-03,1.965743473227593296e-01,1.250085211912161653e-01,1.161067731626490079e-03
1.171222444889779624e+01,2.846057694291584221e-03,1.940946135463351152e-01,1.250081929818532833e-01,1.123872922437692571e-03
1.175150300601202424e+01,2.791017409298499410e-03,1.916410136737349001e-01,1.250078774139785076e-01,1.087845151448626254e-03
1.179078156312625403e+01,2.737035696346316622e-03,1.892133925822676310e-01,1.250075740006930392e-01,1.052948762844621404e-03
1.183006012024048204e+01,2.684092420725253149e-03,1.868115927706568979e-01,1.250072822738508005e-01,1.019149152124512649e-03
1.186933867735471004e+01,2.632167822100460984e-03,1.844354544803261386e-01,1.250070017833363745e-01,9.864127366280297203e-04
1.190861723446893805e+01,2.581242507881584530e-03,1.820848158135570938e-01,1.250067320963705042e-01,9.547069268270350854e-04
1.194789579158316783e+01,2.531297446696879633e-03,1.797595128485760529e-01,1.250064727968424327e-01,9.240000983634249522e-04
1.198717434869739584e+01,2.482313961970824059e-03,1.774593797516265670e-01,1.250062234846679166e-01,8.942615648168289770e-04
1.202645290581162385e+01,2.434273725604002049e-03,1.751842488860800851e-01,1.250059837751721359e-01,8.654615511854676967e-04
1.206573146292585186e+01,2.387158751754174003e-03,1.729339509186447188e-01,1.250057532984960584e-01,8.375711680638431777e-04
1.210501002004008164e+01,2.340951390717330854e-03,1.707083149227232588e-01,1.250055316990258958e-01,8.105623865011667064e-04
1.214428857715430965e+01,2.295634322907580405e-03,1.685071684789763713e-01,1.250053186348444867e-01,7.844080135247303827e-04
1.218356713426853766e+01,2.251190552934672576e-03,1.663303377731440991e-01,1.250051137772038023e-01,7.590816683126659420e-04
1.222284569138276566e+01,2.207603403778008681e-03,1.641776476911791238e-01,1.250049168100176855e-01,7.345577590008534269e-04
1.226212424849699545e+01,2.164856511055936444e-03,1.620489219117453028e-01,1.250047274293742405e-01,7.108114601089717509e-04
1.230140280561122346e+01,2.122933817389167661e-03,1.599439829961330495e-01,1.250045453430669584e-01,6.878186905709775516e-04
1.234068136272545146e+01,2.081819566857085520e-03,1.578626524756419347e-01,1.250043702701438830e-01,6.655560923555518989e-04
1.237995991983967947e+01,2.041498299545820103e-03,1.558047509364844929e-01,1.250042019404740690e-01,6.440010096623504038e-04
1.241923847695390926e+01,2.001954846186857796e-03,1.537700981022593893e-01,1.250040400943309982e-01,6.231314686801287450e-04
1.245851703406813726e+01,1.963174322885022360e-03,1.517585129140441302e-01,1.250038844819916783e-01,6.029261578931080327e-04
1.249779559118236527e+01,1.925142125934630258e-03,1.497698136081571652e-01,1.250037348633514234e-01,5.833644089221856708e-04
1.253707414829659328e+01,1.887843926722663395e-03,1.478038177916379814e-01,1.250035910075534829e-01,5.644261778878849030e-04
1.257635270541082306e+01,1.851265666717759719e-03,1.458603425154924582e-01,1.250034526926327438e-01,5.460920272821770350e-04
1.261563126252505107e+01,1.815393552543862875e-03,1.439392043457515813e-01,1.250033197051733103e-01,5.283431083365798531e-04
1.265490981963927908e+01,1.780214051137353481e-03,1.420402194323892864e-01,1.250031918399792386e-01,5.111611438741790574e-04
1.269418837675350709e+01,1.745713884986509938e-03,1.401632035761468109e-01,1.250030688997579575e-01,4.945284116334955652e-04
1.273346693386773687e+01,1.711880027452133057e-03,1.383079722933072686e-01,1.250029506948158731e-01,4.784277280523448303e-04
1.277274549098196488e+01,1.678699698168190004e-03,1.364743408784671042e-01,1.250028370427656299e-01,4.628424325001073811e-04
1.281202404809619289e+01,1.646160358521322467e-03,1.346621244653458949e-01,1.250027277682448090e-01,4.477563719470480856e-04
1.285130260521042089e+01,1.614249707208092761e-03,1.328711380856803514e-01,1.250026227026451997e-01,4.331538860595950851e-04
1.289058116232465068e+01,1.582955675868833812e-03,1.311011967262439848e-01,1.250025216838528963e-01,4.190197927107001626e-04
1.292985971943887868e+01,1.552266424796987796e-03,1.293521153840348492e-01,1.250024245559979152e-01,4.053393738946557451e-04
1.296913827655310669e+01,1.522170338722794378e-03,1.276237091196717188e-01,1.250023311692139150e-01,3.920983620359627447e-04
1.300841683366733648e+01,1.492656022670257789e-03,1.259157931090410243e-01,1.250022413794067699e-01,3.792829266820903753e-04
1.304769539078156448e+01,1.463712297886281873e-03,1.242281826932339905e-01,1.250021550480324428e-01,3.668796615701787616e-04
1.308697394789579249e+01,1.435328197840864389e-03,1.225606934268117648e-01,1.250020720418830722e-01,3.548755720579611613e-04
1.312625250501002050e+01,1.407492964297315597e-03,1.209131411244401683e-01,1.250019922328815258e-01,3.432580629094118233e-04
1.316553106212425028e+01,1.380196043451392424e-03,1.192853419059295289e-01,1.250019154978837532e-01,3.320149264258292219e-04
1.320480961923847829e+01,1.353427082138321030e-03,1.176771122397185509e-01,1.250018417184887154e-01,3.211343309132835291e-04
1.324408817635270630e+01,1.327175924106627908e-03,1.160882689848379556e-01,1.250017707808559198e-01,3.106048094775597668e-04
1.328336673346693431e+01,1.301432606357776208e-03,1.145186294313906838e-01,1.250017025755294775e-01,3.004152491379457365e-04
1.332264529058116409e+01,1.276187355550550614e-03,1.129680113395838820e-01,1.250016369972694885e-01,2.905548802513999249e-04
1.336192384769539210e+01,1.251430584469192869e-03,1.114362329773474908e-01,1.250015739448894492e-01,2.810132662388464407e-04
1.340120240480962011e+01,1.227152888554267074e-03,1.099231131565732572e-01,1.250015133211002938e-01,2.717802936055272638e-04
1.344048096192384811e+01,1.203345042495271820e-03,1.084284712680084750e-01,1.250014550323601259e-01,2.628461622475465717e-04
1.347975951903807790e+01,1.179997996884007971e-03,1.069521273148367063e-01,1.250013989887300558e-01,2.542013760369165720e-04
1.351903807615230590e+01,1.157102874927731524e-03,1.054939019449783050e-01,1.250013451037353118e-01,2.458367336776096958e-04
1.355831663326653391e+01,1.134650969221121615e-03,1.040536164821418003e-01,1.250012932942318467e-01,2.377433198252918507e-04
1.359759519038076192e+01,1.112633738576127365e-03,1.026310929556580737e-01,1.250012434802780514e-01,2.299124964636027895e-04
1.363687374749499170e+01,1.091042804908737285e-03,1.012261541291269579e-01,1.250011955850114098e-01,2.223358945300100606e-04
1.367615230460921971e+01,1.069869950181760298e-03,9.983862352790737194e-02,1.250011495345298984e-01,2.150054057844437178e-04
1.371543086172344772e+01,1.049107113402678601e-03,9.846832546547855392e-02,1.250011052577779669e-01,2.079131749140785280e-04
1.375470941883767573e+01,1.028746387675690899e-03,9.711508506870311641e-02,1.250010626864369034e-01,2.010515918678025136e-04
1.379398797595190551e+01,1.008780017307034198e-03,9.577872830201855647e-02,1.250010217548193914e-01,1.944132844140634509e-04
1.383326653306613352e+01,9.892003949627144188e-04,9.445908199058603016e-02,1.250009823997682290e-01,1.879911109159500726e-04
1.387254509018036153e+01,9.700000588777550441e-04,9.315597384242230161e-02,1.250009445605587965e-01,1.817781533175085709e-04
1.391182364729458953e+01,9.511716901161283103e-04,9.186923246954241395e-02,1.250009081788054088e-01,1.757677103354586253e-04
1.395110220440881932e+01,9.327081098805010484e-04,9.059868740813860344e-02,1.250008731983711929e-01,1.699532908506102289e-04
1.399038076152304733e+01,9.146022768709697638e-04,8.934416913782110281e-02,1.250008395652815185e-01,1.643286074934345879e-04
1.402965931863727533e+01,8.968472846919449187e-04,8.810550909994509239e-02,1.250008072276406479e-01,1.588875704183754286e-04
1.406893787575150334e+01,8.794363593063883947e-04,8.688253971504947271e-02,1.250007761355517721e-01,1.536242812616375069e-04
1.410821643286573313e+01,8.623628565365850209e-04,8.567509439943023219e-02,1.250007462410399339e-01,1.485330272773125251e-04
1.414749498997996113e+01,8.456202596106643984e-04,8.448300758087236295e-02,1.250007174979779756e-01,1.436082756468436865e-04
1.418677354709418914e+01,8.292021767540852387e-04,8.330611471356312581e-02,1.250006898620154572e-01,1.388446679569529062e-04
1.422605210420841715e+01,8.131023388253207822e-04,8.214425229220891078e-02,1.250006632905101833e-01,1.342370148412887296e-04
1.426533066132264693e+01,7.973145969949775721e-04,8.099725786537807781e-02,1.250006377424623949e-01,1.297802907811695635e-04
1.430460921843687494e+01,7.818329204676096765e-04,7.986497004809102462e-02,1.250006131784515140e-01,1.254696290609236189e-04
1.434388777555110295e+01,7.666513942454741869e-04,7.874722853367778497e-02,1.250005895605753314e-01,1.213003168734387913e-04
1.438316633266533096e+01,7.517642169335235882e-04,7.764387410492526453e-02,1.250005668523915259e-01,1.172677905716600712e-04
1.442244488977956074e+01,7.371656985849021860e-04,7.655474864453272466e-02,1.250005450188614031e-01,1.133676310618750657e-04
1.446172344689378875e+01,7.228502585862514032e-04,7.547969514489616394e-02,1.250005240262958839e-01,1.095955593347472168e-04
1.450100200400801675e+01,7.088124235821206213e-04,7.441855771724002755e-02,1.250005038423034343e-01,1.059474321301554102e-04
1.454028056112224476e+01,6.950468254378114720e-04,7.337118160011585344e-02,1.250004844357402167e-01,1.024192377320123221e-04
1.457955911823647455e+01,6.815481992399702533e-04,7.233741316728561910e-02,1.250004657766619065e-01,9.900709188933007093e-05
1.461883767535070255e+01,6.683113813342771896e-04,7.131709993500831568e-02,1.250004478362775617e-01,9.570723385990507082e-05
1.465811623246493056e+01,6.553313073995635854e-04,7.031009056874631957e-02,1.250004305869052146e-01,9.251602257308891254e-05
1.469739478957915857e+01,6.426030105577336697e-04,6.931623488931042132e-02,1.250004140019290444e-01,8.942993290821224300e-05
1.473667334669338835e+01,6.301216195188397455e-04,6.833538387845811135e-02,1.250003980557584937e-01,8.644555208531625509e-05
1.477595190380761636e+01,6.178823567607042485e-04,6.736738968396399629e-02,1.250003827237886056e-01,8.355957616494177008e-05
1.481523046092184437e+01,6.058805367424583603e-04,6.641210562417579344e-02,1.250003679823621372e-01,8.076880665380962228e-05
1.485450901803607238e+01,5.941115641514095385e-04,6.546938619207375021e-02,1.250003538087330890e-01,7.807014721331893066e-05
1.489378757515030216e+01,5.825709321826342798e-04,6.453908705884733865e-02,1.250003401810315384e-01,7.546060046786718701e-05
1.493306613226453017e+01,5.712542208507176943e-04,6.362106507700508728e-02,1.250003270782299447e-01,7.293726491008404558e-05
1.497234468937875818e+01,5.601570953330570245e-04,6.271517828303127540e-02,1.250003144801107025e-01,7.049733190014573984e-05
1.501162324649298618e+01,5.492753043441723701e-04,6.182128589960445009e-02,1.250003023672348612e-01,6.813808275642060312e-05
1.505090180360721597e+01,5.386046785404640866e-04,6.093924833739144953e-02,1.250002907209122605e-01,6.585688593476688715e-05
1.509018036072144398e+01,5.281411289548685771e-04,6.006892719643040779e-02,1.250002795231726638e-01,6.365119429388320556e-05
1.512945891783567198e+01,5.178806454608725438e-04,5.921018526711578633e-02,1.250002687567378923e-01,6.151854244417912290e-05
1.516873747494989999e+01,5.078192952653622473e-04,5.836288653079894917e-02,1.250002584049953458e-01,5.945654417770991390e-05
1.520801603206412977e+01,4.979532214297811756e-04,5.752689616001667450e-02,1.250002484519723012e-01,5.746288997678231292e-05
1.524729458917835778e+01,4.882786414190861150e-04,5.670208051835952390e-02,1.250002388823112098e-01,5.553534459890971956e-05
1.528657314629258579e+01,4.787918456779936198e-04,5.588830715999246190e-02,1.250002296812460501e-01,5.367174473585653577e-05
1.532585170340681380e+01,4.694891962340311579e-04,5.508544482883968862e-02,1.250002208345796229e-01,5.186999674457887650e-05
1.536513026052104358e+01,4.603671253268941995e-04,5.429336345744442682e-02,1.250002123286614586e-01,5.012807444792702219e-05
1.540440881763527159e+01,4.514221340636401150e-04,5.351193416551572324e-02,1.250002041503669448e-01,4.844401700303820437e-05
1.544368737474949960e+01,4.426507910992387961e-04,5.274102925817217985e-02,1.250001962870769534e-01,4.681592683540401626e-05
1.548296593186372938e+01,4.340497313420263177e-04,5.198052222389398791e-02,1.250001887266583844e-01,4.524196763665743539e-05
1.552224448897795739e+01,4.256156546836003651e-04,5.123028773219348575e-02,1.250001814574455694e-01,4.372036242417708996e-05
1.556152304609218540e+01,4.173453247527103560e-04,5.049020163101376052e-02,1.250001744682220362e-01,4.224939166066127495e-05
1.560080160320641340e+01,4.092355676927068972e-04,4.976014094386608383e-02,1.250001677482034390e-01,4.082739143187841355e-05
1.564008016032064319e+01,4.012832709621128274e-04,4.903998386671487575e-02,1.250001612870207390e-01,3.945275168084999112e-05
1.567935871743487120e+01,3.934853821578968036e-04,4.832960976462024466e-02,1.250001550747043555e-01,3.812391449677344043e-05
1.571863727454909920e+01,3.858389078610244228e-04,4.762889916814655455e-02,1.250001491016686783e-01,3.683937245703934930e-05
1.575791583166332721e+01,3.783409125038857796e-04,4.693773376954659543e-02,1.250001433586972466e-01,3.559766702074726170e-05
1.579719438877755699e+01,3.709885172591884366e-04,4.625599641872947532e-02,1.250001378369287042e-01,3.439738697216757627e-05
1.583647294589178500e+01,3.637788989499249012e-04,4.558357111902096304e-02,1.250001325278429221e-01,3.323716691264405956e-05
1.587575150300601301e+01,3.567092889800213659e-04,4.492034302272419205e-02,1.250001274232479531e-01,3.211568579947300320e-05
1.591503006012024102e+01,3.497769722852878647e-04,4.426619842648909370e-02,1.250001225152674311e-01,3.103166553033978370e-05
1.595430861723447080e+01,3.429792863042939498e-04,4.362102476649815097e-02,1.250001177963283028e-01,2.998386957193277812e-05
1.599358717434869881e+01,3.363136199687997985e-04,4.298471061347598071e-02,1.250001132591492814e-01,2.897110163139584560e-05
1.603286573146292682e+01,3.297774127133781862e-04,4.235714566753019661e-02,1.250001088967294116e-01,2.799220436931881337e-05
1.607214428857715305e+01,3.233681535038762070e-04,4.173822075283088739e-02,1.250001047023375500e-01,2.704605815300450139e-05
1.611142284569138283e+01,3.170833798843594427e-04,4.112782781213534383e-02,1.250001006695016792e-01,2.613157984878609696e-05
1.615070140280561262e+01,3.109206770422043753e-04,4.052585990116550768e-02,1.250000967919991379e-01,2.524772165220654633e-05
1.618997995991983885e+01,3.048776768909894960e-04,3.993221118284379784e-02,1.250000930638469621e-01,2.439346995490417671e-05
1.622925851703406863e+01,2.989520571708615304e-04,3.934677692139450234e-02,1.250000894792925588e-01,2.356784424708447290e-05
1.626853707414829842e+01,2.931415405660510324e-04,3.876945347631701594e-02,1.250000860328049912e-01,2.276989605449107897e-05
1.630781563126252465e+01,2.874438938392123006e-04,3.820013829623656459e-02,1.250000827190662911e-01,2.199870790881888378e-05
1.634709418837675443e+01,2.818569269822748823e-04,3.763872991263848833e-02,1.250000795329633541e-01,2.125339235054564600e-05
1.638637274549098066e+01,2.763784923835031944e-04,3.708512793349232062e-02,1.250000764695800293e-01,2.053309096318841603e-05
1.642565130260521045e+01,2.710064840104506561e-04,3.653923303677041046e-02,1.250000735241894867e-01,1.983697343801836831e-05
1.646492985971943668e+01,2.657388366085236238e-04,3.600094696386761661e-02,1.250000706922470006e-01,1.916423666830001046e-05
1.650420841683366646e+01,2.605735249148479708e-04,3.547017251292613332e-02,1.250000679693828998e-01,1.851410387214418192e-05
1.654348697394789625e+01,2.555085628871657999e-04,3.494681353207180347e-02,1.250000653513957394e-01,1.788582374309550654e-05
1.658276553106212248e+01,2.505420029474690656e-04,3.443077491256607559e-02,1.250000628342459730e-01,1.727866962759770148e-05
1.662204408817635226e+01,2.456719352400971580e-04,3.392196258187866326e-02,1.250000604140496796e-01,1.669193872850763288e-05
1.666132264529058205e+01,2.408964869040311106e-04,3.342028349668615950e-02,1.250000580870724298e-01,1.612495133385378565e-05
1.670060120240480828e+01,2.362138213591088022e-04,3.292564563580027692e-02,1.250000558497237069e-01,1.557705007005738716e-05
1.673987975951903806e+01,2.316221376059043316e-04,3.243795799303078597e-02,1.250000536985513000e-01,1.504759917885938769e-05
1.677915831663326429e+01,2.271196695390163974e-04,3.195713056998764068e-02,1.250000516302359477e-01,1.453598381721885922e-05
1.681843687374749408e+01,2.227046852735050156e-04,3.148307436882558791e-02,1.250000496415861750e-01,1.404160937946920775e-05
1.685771543086172386e+01,2.183754864842385901e-04,3.101570138493659270e-02,1.250000477295335477e-01,1.356390084104228541e-05
1.689699398797595009e+01,2.141304077578991532e-04,3.055492459959281704e-02,1.250000458911277590e-01,1.310230212308884791e-05
1.693627254509017988e+01,2.099678159574099598e-04,3.010065797254471431e-02,1.250000441235321058e-01,1.265627547734573359e-05
1.697555110220440966e+01,2.058861095985551530e-04,2.965281643457800750e-02,1.250000424240191865e-01,1.222530089061947514e-05
1.701482965931863589e+01,2.018837182385525408e-04,2.921131588003259005e-02,1.250000407899666821e-01,1.180887550827414244e-05
1.705410821643286567e+01,1.979591018763580913e-04,2.877607315928716256e-02,1.250000392188532483e-01,1.140651307613078482e-05
1.709338677354709191e+01,1.941107503644841131e-04,2.834700607121353258e-02,1.250000377082546021e-01,1.101774340020382014e-05
1.713266533066132169e+01,1.903371828321020283e-04,2.792403335560250319e-02,1.250000362558399414e-01,1.064211182371585586e-05
1.717194388777555147e+01,1.866369471192293238e-04,2.750707468556623861e-02,1.250000348593681421e-01,1.027917872085135501e-05
1.721122244488977771e+01,1.830086192217790161e-04,2.709605065991861628e-02,1.250000335166844556e-01,9.928519006724108577e-06
1.725050100200400749e+01,1.794508027472721903e-04,2.669088279553760365e-02,1.250000322257171503e-01,9.589721663050565514e-06
1.728977955911823727e+01,1.759621283810109478e-04,2.629149351971225845e-02,1.250000309844742086e-01,9.262389279036565781e-06
1.732905811623246350e+01,1.725412533625096429e-04,2.589780616247679829e-02,1.250000297910404123e-01,8.946137606999226167e-06
1.736833667334669329e+01,1.691868609719920675e-04,2.550974494893488986e-02,1.250000286435742902e-01,8.640595132261045004e-06
1.740761523046091952e+01,1.658976600267653124e-04,2.512723499157681895e-02,1.250000275403053140e-01,8.345402656867698080e-06
1.744689378757514930e+01,1.626723843872762037e-04,2.475020228259141794e-02,1.250000264795310956e-01,8.060212896693490133e-06
1.748617234468937909e+01,1.595097924726742139e-04,2.437857368617616857e-02,1.250000254596148885e-01,7.784690091513466218e-06
1.752545090180360532e+01,1.564086667856933886e-04,2.401227693084700271e-02,1.250000244789829518e-01,7.518509627632606107e-06
1.756472945891783510e+01,1.533678134466779741e-04,2.365124060175042425e-02,1.250000235361221623e-01,7.261357672676035027e-06
1.760400801603206489e+01,1.503860617365805489e-04,2.329539413298037723e-02,1.250000226295776840e-01,7.012930822156238207e-06
1.764328657314629112e+01,1.474622636487571826e-04,2.294466779990171970e-02,1.250000217579507467e-01,6.772935757444584716e-06
1.768256513026052090e+01,1.445952934493933051e-04,2.259899271148211458e-02,1.250000209198963708e-01,6.541088914786505833e-06
1.772184368737474713e+01,1.417840472463991993e-04,2.225830080263517530e-02,1.250000201141214795e-01,6.317116165010780322e-06
1.776112224448897692e+01,1.390274425666072043e-04,2.192252482657571291e-02,1.250000193393827341e-01,6.100752503593561163e-06
1.780040080160320670e+01,1.363244179411185670e-04,2.159159834718983595e-02,1.250000185944847297e-01,5.891741750749239497e-06
1.783967935871743293e+01,1.336739324986400783e-04,2.126545573142120393e-02,1.250000178782780802e-01,5.689836261229436095e-06
1.787895791583166272e+01,1.310749655666584065e-04,2.094403214167503760e-02,1.250000171896576695e-01,5.494796643521890133e-06
1.791823647294589250e+01,1.285265162803060862e-04,2.062726352824223452e-02,1.250000165275609310e-01,5.306391488150567057e-06
1.795751503006011873e+01,1.260276031987670766e-04,2.031508662174431878e-02,1.250000158909663206e-01,5.124397104787098687e-06
1.799679358717434852e+01,1.235772639290798303e-04,2.000743892560120571e-02,1.250000152788914853e-01,4.948597267893139360e-06
1.803607214428857830e+01,1.211745547571990700e-04,1.970425870852346439e-02,1.250000146903920417e-01,4.778782970621983646e-06
1.807535070140280453e+01,1.188185502861725318e-04,1.940548499702995575e-02,1.250000141245599383e-01,4.614752186715746482e-06
1.811462925851703432e+01,1.165083430812994977e-04,1.911105756799254263e-02,1.250000135805220680e-01,4.456309640143097147e-06
1.815390781563126055e+01,1.142430433221386387e-04,1.882091694120935355e-02,1.250000130574389912e-01,4.303266582230495514e-06
1.819318637274549033e+01,1.120217784612292385e-04,1.853500437200723133e-02,1.250000125545035756e-01,4.155440576047097438e-06
1.823246492985972012e+01,1.098436928894035662e-04,1.825326184387539644e-02,1.250000120709398033e-01,4.012655287811724210e-06
1.827174348697394635e+01,1.077079476075585061e-04,1.797563206113075157e-02,1.250000116060015487e-01,3.874740285096837738e-06
1.831102204408817613e+01,1.056137199047652291e-04,1.770205844161628489e-02,1.250000111589713581e-01,3.741530841611951288e-06
1.835030060120240591e+01,1.035602030425966972e-04,1.743248510943377211e-02,1.250000107291595330e-01,3.612867748355702236e-06
1.838957915831663215e+01,1.015466059455504835e-04,1.716685688771137433e-02,1.250000103159028264e-01,3.488597130932101216e-06
1.842885771543086193e+01,9.957215289745178100e-05,1.690511929140736669e-02,1.250000099185635816e-01,3.368570272833232638e-06
1.846813627254508816e+01,9.763608324372346321e-05,1.664721852015108028e-02,1.250000095365287334e-01,3.252643444496870414e-06
1.850741482965931795e+01,9.573765109940644076e-05,1.639310145112141820e-02,1.250000091692087811e-01,3.140677737953123698e-06
1.854669338677354773e+01,9.387612506282474100e-05,1.614271563196445144e-02,1.250000088160369283e-01,3.032538906880705548e-06
