beta,E_no_GP,Cv_no_GP_over_kB,E_GP,Cv_GP_over_kB
3.620841683366733399e+00,1.252823175441310499e-01,6.579071622265855179e-01,1.511182073953724059e-01,3.349473998754062265e-01
3.660120240480961851e+00,1.233254843582606147e-01,6.625863379266166975e-01,1.501334229509583840e-01,3.295718326792184127e-01
3.699398797595190302e+00,1.213966979084834252e-01,6.672180006086008142e-01,1.491851470975714133e-01,3.241953297108543519e-01
3.738677354709418754e+00,1.194953598867523059e-01,6.717959474811304732e-01,1.482720616392243784e-01,3.188223238809132498e-01
3.777955911823647206e+00,1.176209079027342036e-01,6.763141746950409594e-01,1.473928945852078787e-01,3.134570817076335891e-01
3.817234468937875658e+00,1.157728127434616561e-01,6.807668844160108534e-01,1.465464184955904692e-01,3.081037008529005639e-01
3.856513026052104109e+00,1.139505758193154611e-01,6.851484908679161823e-01,1.457314489038414318e-01,3.027661084839289862e-01
3.895791583166332561e+00,1.121537267848584096e-01,6.894536253995755537e-01,1.449468428102708706e-01,2.974480603937476042e-01
3.935070140280561013e+00,1.103818213237230811e-01,6.936771406272950191e-01,1.441914972407058182e-01,2.921531408159449006e-01
3.974348697394789465e+00,1.086344390873941745e-01,6.978141137051300236e-01,1.434643478654583915e-01,2.868847628716981735e-01
4.013627254509017916e+00,1.069111817783261198e-01,7.018598487740197456e-01,1.427643676742043066e-01,2.816461695898425655e-01
4.052905811623246812e+00,1.052116713683958205e-01,7.058098786400022195e-01,1.420905657028833369e-01,2.764404354435826550e-01
4.092184368737474820e+00,1.035355484442205265e-01,7.096599657305840969e-01,1.414419858091682802e-01,2.712704683503838754e-01
4.131462925851703716e+00,1.018824706713653133e-01,7.134061023770694732e-01,1.408177054934292294e-01,2.661390120845360530e-01
4.170741482965932612e+00,1.002521113699324229e-01,7.170445104692730887e-01,1.402168347624553890e-01,2.610486490548626914e-01
4.210020040080160619e+00,9.864415819446517575e-02,7.205716405275652825e-01,1.396385150334877590e-01,2.560018034029905576e-01
4.249298597194389515e+00,9.705831191151025050e-02,7.239841702356564213e-01,1.390819180763745722e-01,2.510007443805046812e-01
4.288577154308617523e+00,9.549428526857775545e-02,7.272790024759300254e-01,1.385462449918832273e-01,2.460475899661562216e-01
4.327855711422846419e+00,9.395180194860096312e-02,7.304532629075203287e-01,1.380307252244001859e-01,2.411443106870530262e-01
4.367134268537074426e+00,9.243059560434940813e-02,7.335042971256641176e-01,1.375346156074202519e-01,2.362927336104393150e-01
4.406412825651303322e+00,9.093040896757323410e-02,7.364296674392122322e-01,1.370571994403758098e-01,2.314945464752415916e-01
4.445691382765531330e+00,8.945099302796810647e-02,7.392271493015272199e-01,1.365977855954877973e-01,2.267513019350286818e-01
4.484969939879760226e+00,8.799210627733947132e-02,7.418947274283481663e-01,1.361557076534319344e-01,2.220644218863838393e-01
4.524248496993988233e+00,8.655351401462246796e-02,7.444305916345763663e-01,1.357303230667141203e-01,2.174352018589306157e-01
4.563527054108217129e+00,8.513498770767069512e-02,7.468331324203346666e-01,1.353210123497338158e-01,2.128648154453699759e-01
4.602805611222445137e+00,8.373630440797480423e-02,7.491009363350725758e-01,1.349271782945902221e-01,2.083543187518988871e-01
4.642084168336674033e+00,8.235724621470098816e-02,7.512327811469619032e-01,1.345482452117504613e-01,2.039046548512581380e-01
4.681362725450902040e+00,8.099759978465950749e-02,7.532276308433084600e-01,1.341836581947574436e-01,1.995166582224397189e-01
4.720641282565130936e+00,7.965715588501717792e-02,7.550846304862555147e-01,1.338328824082032353e-01,1.951910591627338543e-01
4.759919839679358944e+00,7.833570898576498742e-02,7.568031009466298364e-01,1.334954023982393712e-01,1.909284881593552308e-01
4.799198396793587840e+00,7.703305688913171523e-02,7.583825335374017040e-01,1.331707214249318871e-01,1.867294802093216743e-01
4.838476953907815847e+00,7.574900039331085300e-02,7.598225845669041023e-01,1.328583608158042939e-01,1.825944790776097004e-01
4.877755511022044743e+00,7.448334298802852804e-02,7.611230698306691300e-01,1.325578593399401039e-01,1.785238414848439592e-01
4.917034068136272751e+00,7.323589057963576787e-02,7.622839590595037462e-01,1.322687726020435883e-01,1.745178412169369753e-01
4.956312625250501647e+00,7.200645124355209425e-02,7.633053703402356005e-01,1.319906724558806421e-01,1.705766731501448252e-01
4.995591182364729654e+00,7.079483500202504720e-02,7.641875645244133874e-01,1.317231464365426208e-01,1.667004571859884710e-01
5.034869739478958550e+00,6.960085362529883080e-02,7.649309396391584803e-01,1.314657972109948836e-01,1.628892420913768957e-01
5.074148296593186558e+00,6.842432045440671740e-02,7.655360253133014492e-01,1.312182420463892107e-01,1.591430092400926422e-01
5.113426853707415454e+00,6.726505024391583876e-02,7.660034772309479711e-01,1.309801122956339436e-01,1.554616762525435070e-01
5.152705410821643461e+00,6.612285902306164198e-02,7.663340716236453076e-01,1.307510528997316845e-01,1.518451005313664059e-01
5.191983967935872357e+00,6.499756397381009632e-02,7.665286998114173578e-01,1.305307219064056612e-01,1.482930826910857369e-01
5.231262525050100365e+00,6.388898332448134099e-02,7.665883628020591090e-01,1.303187900045501557e-01,1.448053698805890632e-01
5.270541082164329261e+00,6.279693625765882248e-02,7.665141659572562993e-01,1.301149400740509721e-01,1.413816589976830129e-01
5.309819639278557268e+00,6.172124283119239524e-02,7.663073137333039631e-01,1.299188667505329908e-01,1.380215997954526430e-01
5.349098196392786164e+00,6.066172391118335172e-02,7.659691045034585644e-01,1.297302760046032122e-01,1.347247978805437563e-01
5.388376753507014172e+00,5.961820111591489835e-02,7.655009254682437758e-01,1.295488847351666806e-01,1.314908176038612764e-01
5.427655310621243068e+00,5.859049676976081644e-02,7.649042476593634898e-01,1.293744203764037592e-01,1.283191848444874550e-01
5.466933867735471964e+00,5.757843386617338133e-02,7.641806210422447121e-01,1.292066205180050498e-01,1.252093896879173940e-01
5.506212424849699971e+00,5.658183603891112773e-02,7.633316697216310232e-01,1.290452325382712706e-01,1.221608889999526576e-01
5.545490981963928867e+00,5.560052754072833392e-02,7.623590872540912944e-01,1.288900132496930973e-01,1.191731088978166264e-01
5.584769539078156875e+00,5.463433322880103388e-02,7.612646320707697756e-01,1.287407285566352366e-01,1.162454471202424289e-01
5.624048096192385771e+00,5.368307855621657493e-02,7.600501230132187258e-01,1.285971531247580568e-01,1.133772752984470861e-01
5.663326653306613778e+00,5.274658956890299066e-02,7.587174349846725896e-01,1.284590700618180592e-01,1.105679411300455606e-01
5.702605210420842674e+00,5.182469290741817391e-02,7.572684947186993920e-01,1.283262706094970840e-01,1.078167704580724751e-01
5.741883767535070682e+00,5.091721581306343780e-02,7.557052766667508026e-01,1.281985538459191054e-01,1.051230692573784237e-01
5.781162324649299578e+00,5.002398613782418207e-02,7.540297990057424071e-01,1.280757263985206895e-01,1.024861255307418229e-01
