Q,mo_1,mo_2,mo_3,Li3_like_total,Na3_like_total
0.28500000,-2.00388696,0.84325000,1.16063696,-0.07139250,-0.04894875
0.29000000,-2.00402088,0.84050000,1.16352088,-0.07163000,-0.04915500
0.29500000,-2.00415693,0.83775000,1.16640693,-0.07183250,-0.04933875
0.30000000,-2.00429512,0.83500000,1.16929512,-0.07200000,-0.04950000
0.30500000,-2.00443544,0.83225000,1.17218544,-0.07213250,-0.04963875
0.31000000,-2.00457788,0.82950000,1.17507788,-0.07223000,-0.04975500
0.31500000,-2.00472244,0.82675000,1.17797244,-0.07229250,-0.04984875
0.32000000,-2.00486911,0.82400000,1.18086911,-0.07232000,-0.04992000
0.32500000,-2.00501789,0.82125000,1.18376789,-0.07231250,-0.04996875
0.33000000,-2.00516876,0.81850000,1.18666876,-0.07227000,-0.04999500
0.33500000,-2.00532173,0.81575000,1.18957173,-0.07219250,-0.04999875
0.34000000,-2.00547678,0.81300000,1.19247678,-0.07208000,-0.04998000
0.34500000,-2.00563392,0.81025000,1.19538392,-0.07193250,-0.04993875
0.35000000,-2.00579313,0.80750000,1.19829313,-0.07175000,-0.04987500
0.35500000,-2.00595441,0.80475000,1.20120441,-0.07153250,-0.04978875
0.36000000,-2.00611775,0.80200000,1.20411775,-0.07128000,-0.04968000
0.36500000,-2.00628315,0.79925000,1.20703315,-0.07099250,-0.04954875
0.37000000,-2.00645061,0.79650000,1.20995061,-0.07067000,-0.04939500
0.37500000,-2.00662010,0.79375000,1.21287010,-0.07031250,-0.04921875
0.38000000,-2.00679164,0.79100000,1.21579164,-0.06992000,-0.04902000
0.38500000,-2.00696521,0.78825000,1.21871521,-0.06949250,-0.04879875
0.39000000,-2.00714081,0.78550000,1.22164081,-0.06903000,-0.04855500
0.39500000,-2.00731843,0.78275000,1.22456843,-0.06853250,-0.04828875
0.40000000,-2.00749807,0.78000000,1.22749807,-0.06800000,-0.04800000
0.40500000,-2.00767972,0.77725000,1.23042972,-0.06743250,-0.04768875
0.41000000,-2.00786337,0.77450000,1.23336337,-0.06683000,-0.04735500
0.41500000,-2.00804902,0.77175000,1.23629902,-0.06619250,-0.04699875
0.42000000,-2.00823666,0.76900000,1.23923666,-0.06552000,-0.04662000
0.42500000,-2.00842629,0.76625000,1.24217629,-0.06481250,-0.04621875
0.43000000,-2.00861791,0.76350000,1.24511791,-0.06407000,-0.04579500
0.43500000,-2.00881150,0.76075000,1.24806150,-0.06329250,-0.04534875
0.44000000,-2.00900706,0.75800000,1.25100706,-0.06248000,-0.04488000
0.44500000,-2.00920458,0.75525000,1.25395458,-0.06163250,-0.04438875
0.45000000,-2.00940406,0.75250000,1.25690406,-0.06075000,-0.04387500
