beta_blue,Cv_blue_over_kB,beta_red,Cv_red_over_kB
3.602058319039451284e+00,8.268833087149187744e-01,3.739279588336192006e+00,7.870014771048744473e-01
3.636363636363636243e+00,8.215657311669128937e-01,3.773584905660377409e+00,7.807976366322008088e-01
3.670668953687821645e+00,8.171344165435745488e-01,3.807890222984562811e+00,7.737075332348596346e-01
3.704974271012007048e+00,8.118168389955686681e-01,3.842195540308747770e+00,7.683899556868537539e-01
3.739279588336192006e+00,8.064992614475626764e-01,3.876500857632933172e+00,7.630723781388477622e-01
3.773584905660377409e+00,8.011816838995569068e-01,3.910806174957118575e+00,7.550960118168390522e-01
3.807890222984562811e+00,7.976366322008862086e-01,3.945111492281303534e+00,7.462333825701624734e-01
3.842195540308747770e+00,7.932053175775478637e-01,3.979416809605488936e+00,7.373707533234860056e-01
3.876500857632933172e+00,7.896602658788772766e-01,4.013722126929674339e+00,7.302806499261446094e-01
3.910806174957118575e+00,7.843426883308713959e-01,4.048027444253859741e+00,7.223042836041358994e-01
3.945111492281303534e+00,7.807976366322008088e-01,4.082332761578044256e+00,7.152141802067947252e-01
3.979416809605488936e+00,7.763663220088625749e-01,4.116638078902229658e+00,7.063515509601181463e-01
4.013722126929674339e+00,7.728212703101919878e-01,4.150943396226415061e+00,7.001477104874445079e-01
4.048027444253859741e+00,7.692762186115214007e-01,4.185248713550600463e+00,6.912850812407680401e-01
4.082332761578044256e+00,7.666174298375183493e-01,4.219554030874785866e+00,6.841949778434268659e-01
4.116638078902229658e+00,7.630723781388477622e-01,4.253859348198971269e+00,6.753323485967503981e-01
4.150943396226415061e+00,7.604135893648449329e-01,4.288164665523155783e+00,6.700147710487444064e-01
4.185248713550600463e+00,7.577548005908418816e-01,4.322469982847341186e+00,6.611521418020679386e-01
4.219554030874785866e+00,7.550960118168390522e-01,4.356775300171526588e+00,6.540620384047266533e-01
4.253859348198971269e+00,7.515509601181684651e-01,4.391080617495711991e+00,6.460856720827178323e-01
4.288164665523155783e+00,7.497784342688330605e-01,4.425385934819897393e+00,6.398818316100443049e-01
4.322469982847341186e+00,7.462333825701624734e-01,4.459691252144081908e+00,6.319054652880353729e-01
4.356775300171526588e+00,7.444608567208271799e-01,4.493996569468267310e+00,6.265878877400294922e-01
