beta,Cv_no_GP_over_kB,Cv_GP_over_kB,phase_delta,interference_no_GP,interference_GP,path_ratio,splitting_no_GP,splitting_GP
3.385170340681362688e+00,6.292044586619502944e-01,3.669130011102668121e-01,9.569580828570111164e-01,7.880046208208562053e-01,2.119953791791437392e-01,2.284569138276553169e-01,1.228456913827655317e+00,7.715430861723446831e-01
3.424448897795591140e+00,6.340284876086969001e-01,3.616449067893732772e-01,9.695496365788138782e-01,7.828354860853399266e-01,2.171645139146600179e-01,2.314629258517034160e-01,1.231462925851703361e+00,7.685370741482966395e-01
3.463727454909819592e+00,6.388458592582820783e-01,3.563460446761819722e-01,9.821411903006166400e-01,7.776215091608085217e-01,2.223784908391914228e-01,2.344689378757514875e-01,1.234468937875751404e+00,7.655310621242484848e-01
3.503006012024048044e+00,6.436493898375814648e-01,3.510217391982529689e-01,9.947327440224194017e-01,7.723635166979132549e-01,2.276364833020866896e-01,2.374749498997995867e-01,1.237474949899799670e+00,7.625250501002004411e-01
3.542284569138276495e+00,6.484320275894384089e-01,3.456771844638225066e-01,1.007324297744222275e+00,7.670623423257547646e-01,2.329376576742452909e-01,2.404809619238476859e-01,1.240480961923847714e+00,7.595190380761522864e-01
3.581563126252504947e+00,6.531868670878160366e-01,3.403174353550525999e-01,1.019915851466024925e+00,7.617188265197147867e-01,2.382811734802852133e-01,2.434869739478957851e-01,1.243486973947895757e+00,7.565130260521042427e-01
3.620841683366733399e+00,6.579071622265854069e-01,3.349473998754062265e-01,1.032507405187827798e+00,7.563338164682035236e-01,2.436661835317964764e-01,2.464929859719438843e-01,1.246492985971943801e+00,7.535070140280560880e-01
3.660120240480961851e+00,6.625863379266164754e-01,3.295718326792184683e-01,1.045098958909630449e+00,7.509081659383417540e-01,2.490918340616582460e-01,2.494989979959919835e-01,1.249498997995992067e+00,7.505010020040080443e-01
3.699398797595190302e+00,6.672180006086009252e-01,3.241953297108544074e-01,1.057690512631433322e+00,7.454427351405998881e-01,2.545572648594000564e-01,2.525050100200400549e-01,1.252505010020040110e+00,7.474949899799598896e-01
3.738677354709418754e+00,6.717959474811303622e-01,3.188223238809132498e-01,1.070282066353235972e+00,7.399383905924166172e-01,2.600616094075834384e-01,2.555110220440881541e-01,1.255511022044088154e+00,7.444889779559118459e-01
3.777955911823647206e+00,6.763141746950409594e-01,3.134570817076335891e-01,1.082873620075038845e+00,7.343960049808154755e-01,2.656039950191845245e-01,2.585170340681362533e-01,1.258517034068136198e+00,7.414829659318638022e-01
3.817234468937875658e+00,6.807668844160106314e-01,3.081037008529006749e-01,1.095465173796841718e+00,7.288164570240461826e-01,2.711835429759538174e-01,2.615230460921843525e-01,1.261523046092184241e+00,7.384769539078156475e-01
3.856513026052104109e+00,6.851484908679161823e-01,3.027661084839289307e-01,1.108056727518644369e+00,7.232006313322668634e-01,2.767993686677331366e-01,2.645290581162324517e-01,1.264529058116232507e+00,7.354709418837674928e-01
3.895791583166332561e+00,6.894536253995755537e-01,2.974480603937475487e-01,1.120648281240447242e+00,7.175494182672939036e-01,2.824505817327060964e-01,2.675350701402805509e-01,1.267535070140280551e+00,7.324649298597194491e-01
3.935070140280561013e+00,6.936771406272953522e-01,2.921531408159447896e-01,1.133239834962249892e+00,7.118637138014396459e-01,2.881362861985603541e-01,2.705410821643286501e-01,1.270541082164328595e+00,7.294589178356714054e-01
