sweep,chain_0,chain_1,chain_2,chain_3
13200,-1.1010999169870688,-1.0750450978293293,-1.1956273623716125,-1.149918272281314
13300,-0.9123703129496132,-1.0188620177509236,-1.1229587100985647,-1.0709526644130243
13400,-1.0438227133794575,-0.9406353034946646,-0.7855326093918571,-1.174906697135966
13500,-1.1179922854710245,-1.1233288841493174,-0.9182197452895651,-0.795128379690305
13600,-0.8361235367856816,-1.158968297704736,-1.030235461106832,-1.0533899112142227
13700,-0.9084947291954686,-1.053125449581003,-0.9954039083303781,-1.0618467408297418
13800,-0.8724706059299913,-1.0168639631850867,-0.9393981517040443,-1.1435979152916853
13900,-0.7105289653751014,-1.0039293241133718,-0.9992206424809087,-1.058792902394735
14000,-1.1493971127083908,-0.9472339313659586,-1.0383518262031541,-1.1483883028835586
14100,-1.0723725746418382,-0.9897854060921413,-1.0247810286339734,-0.8703086623032399
14200,-1.0758827819248433,-1.0740261343731146,-0.7514357211148218,-0.982793353827605
14300,-0.9453854287115252,-0.9599425489361397,-1.0056353887336564,-0.9795272577478561
14400,-1.0568827579798554,-1.0712740720584353,-1.055764258180072,-1.0094529249425883
14500,-1.0836242158457172,-0.8918761119107157,-1.178190563610509,-1.155830713362859
14600,-1.1517598890675602,-0.9928237987189192,-1.1515115158090399,-0.9480700765185678
14700,-1.0322979432325996,-1.06442592111674,-1.0459060015483643,-0.8874456836928808
14800,-0.9247676303009109,-1.1154485913790424,-1.0137788260247533,-1.2034063743312262
14900,-1.2565178888760569,-0.9422073581497182,-0.6931121916313467,-0.9306491621601182
15000,-1.143294507581943,-1.1940188951851993,-1.1733869701636515,-0.9832300661737251
15100,-1.1103132134796503,-0.9128726488281081,-1.0747292164121824,-0.9633984613851061
15200,-1.0823420512631832,-1.1863446304823217,-0.8638696382738539,-1.148430167692945
15300,-1.1322074781116123,-0.940145032311029,-0.8399150117661338,-1.1861956523930373
15400,-0.9259120774977623,-1.1835296473981467,-1.1190879380308516,-0.7273759397678726
15500,-0.8678040593552875,-0.9987963955044931,-0.8330981652105154,-1.0996372723549646
15600,-1.1890536713339461,-1.1189118789178871,-1.0361543721428659,-1.0363070485780368
15700,-1.1104782009321432,-0.8743782904868074,-0.6745803856725651,-1.017106927391387
15800,-1.1322063834482736,-1.154811565957163,-0.7364244419981191,-1.0788918088621255
15900,-0.9278070967799498,-1.2099088569035872,-1.1522996531826655,-0.9972059450985679
16000,-1.0993482291062455,-0.9947064859965494,-0.6699348200134336,-1.1361832473737212
16100,-1.2611135653687315,-0.9493463761796922,-0.6365809782638603,-1.127716031167824
16200,-1.1671926953745762,-1.1526796811705353,-1.231152047690015,-1.1571008666828342
16300,-1.2569043318368909,-0.9319111417999132,-0.8816232375207759,-0.9589573032032124
16400,-0.9278741622531598,-1.319433100595651,-1.0120294227717268,-1.0526332904396196
16500,-1.199292516020288,-1.10385652218813,-1.1590905957662483,-0.863728637290252
16600,-1.0638500607506844,-1.0793820653573925,-0.8518799415176386,-1.201292238767796
16700,-1.0227756399996732,-1.0508541225933028,-0.968023475575706,-1.1322087664842528
16800,-0.9997883682694264,-0.9530602160847255,-1.1143339604867932,-0.9930336636628975
16900,-0.9807492328782951,-0.9462665663854202,-0.8946488077481745,-0.880530288248245
17000,-0.9815413089774336,-1.0145069522757741,-1.0088334421292737,-1.104415050558843
17100,-1.1194742531892345,-0.9670488081205943,-1.078494423187415,-1.2064320697434139
17200,-1.2195962480452038,-0.9596339947717847,-1.1467730524190642,-1.0001867496308317
17300,-1.184426798376861,-1.098136439405569,-1.208585518209268,-1.0891285534054003
17400,-0.9439501261509835,-1.1065900637811232,-0.9993608745349112,-1.089192445160099
17500,-0.9892659012541456,-1.0379680640219227,-0.9901239799225303,-0.8220505436711331
17600,-1.0406510098553081,-1.2736088863743866,-1.1578698468768147,-0.9362812446214472
17700,-1.3156587132269293,-1.1171161245986267,-1.1337086513986538,-1.1256760185907992
17800,-0.8284447882560257,-1.1507628112897246,-1.1318542262443916,-0.8565289894564885
17900,-1.12362625238252,-1.0279806136717389,-0.9218283620366781,-1.3015528161252115
18000,-1.0925637982326766,-0.664148120482412,-0.9065372156680584,-0.9704610133889384
18100,-1.0097088590851602,-1.1276964143265005,-0.9171773603402142,-1.0967478940733502
18200,-1.1085008619883845,-0.9576811418578498,-0.9864623514226657,-1.113784576718466
18300,-1.152723343243459,-1.1373764108310775,-0.9863546015986937,-1.135923444993544
18400,-1.1662103905856935,-1.1307980025305544,-1.1800328403098717,-0.946292610439527
18500,-1.2102619971484472,-1.2135509818279862,-1.18874062467982,-1.0406957298043733
18600,-1.0968021158128494,-0.7341777643145924,-1.2160407240504578,-0.9811402897862158
18700,-1.0966390544157505,-1.1110862077532335,-1.1048151855233195,-0.9516753683446437
18800,-1.0566174684238514,-0.9396842267430552,-1.0101314422544505,-1.1076028950630654
18900,-0.979968175362355,-1.1328036953152858,-0.919259862388742,-1.1093018804920562
19000,-1.0928258053822264,-1.1664929932706336,-1.1249188066052984,-0.9375635543684849
