window,center,x,pooled_count
0,-1.5,0.8220000000000001,0
0,-1.5,0.8340000000000001,0
0,-1.5,0.8460000000000001,0
0,-1.5,0.8580000000000001,0
0,-1.5,0.8700000000000001,0
0,-1.5,0.8820000000000001,0
0,-1.5,0.8940000000000001,0
0,-1.5,0.9060000000000001,0
0,-1.5,0.9180000000000001,0
0,-1.5,0.9300000000000002,0
0,-1.5,0.9420000000000002,0
0,-1.5,0.9540000000000002,0
0,-1.5,0.9660000000000002,0
0,-1.5,0.9780000000000002,0
0,-1.5,0.9900000000000002,0
0,-1.5,1.0020000000000002,0
0,-1.5,1.014,0
0,-1.5,1.0259999999999998,0
0,-1.5,1.0379999999999998,0
0,-1.5,1.0499999999999998,0
0,-1.5,1.0619999999999998,0
0,-1.5,1.0739999999999998,0
0,-1.5,1.0859999999999999,0
0,-1.5,1.0979999999999999,0
0,-1.5,1.1099999999999999,0
0,-1.5,1.1219999999999999,0
0,-1.5,1.134,0
0,-1.5,1.146,0
0,-1.5,1.158,0
0,-1.5,1.17,0
0,-1.5,1.182,0
0,-1.5,1.194,0
0,-1.5,1.206,0
0,-1.5,1.218,0
0,-1.5,1.23,0
0,-1.5,1.242,0
0,-1.5,1.254,0
0,-1.5,1.266,0
0,-1.5,1.278,0
0,-1.5,1.29,0
0,-1.5,1.302,0
0,-1.5,1.314,0
0,-1.5,1.326,0
0,-1.5,1.338,0
0,-1.5,1.35,0
0,-1.5,1.362,0
0,-1.5,1.374,0
0,-1.5,1.3860000000000001,0
0,-1.5,1.3980000000000001,0
0,-1.5,1.4100000000000001,0
0,-1.5,1.4220000000000002,0
0,-1.5,1.4340000000000002,0
0,-1.5,1.4460000000000002,0
0,-1.5,1.4580000000000002,0
0,-1.5,1.4700000000000002,0
0,-1.5,1.4820000000000002,0
0,-1.5,1.4940000000000002,0
0,-1.5,1.5060000000000002,0
0,-1.5,1.5180000000000002,0
0,-1.5,1.53,0
0,-1.5,1.5419999999999998,0
0,-1.5,1.5539999999999998,0
0,-1.5,1.5659999999999998,0
