x,analytic_F,wham_mean,wham_run_sd,plain_pooled_F
-1.098,-0.07302396147199985,-0.05813681880307347,0.07118596086561456,-3.2935871063356634
-1.086,-0.1013286014719999,-0.087969409036551,0.07663901718117609,-3.3210254160794515
-1.074,-0.11851293939199992,-0.11168736799571105,0.08943731835307009,-3.3382036226000986
-1.062,-0.12493529331199998,-0.10910323252020099,0.08307901421191802,-3.3493035302395233
-1.05,-0.12095000000000002,-0.1017632728685159,0.06653826068640002,-3.345999505172303
-1.038,-0.10690741491200005,-0.09837113526004639,0.06725842470127846,-3.336416147589114
-1.026,-0.08315391219199994,-0.04677467720402029,0.07039218815481142,-3.314700013054069
-1.014,-0.05003188467200017,-0.04830759163345474,0.08196047647119206,-3.2736729803069116
-1.002,-0.0078797438719998,0.012397551428664786,0.07079491653545791,-3.232935022931123
-0.99,0.04296808000000007,0.04695735074390985,0.06763200714529002,-3.181122526505485
-0.978,0.102181138048,0.11544295147266447,0.07341113304387657,-3.125503945177754
-0.966,0.16943296268800004,0.16939438612355553,0.07931269260314258,-3.0621883745332443
-0.9540000000000001,0.24440106764799951,0.25331738475201265,0.0731656175755482,-2.9825955094223997
-0.9420000000000001,0.32676694796799943,0.33657721907704596,0.07602254364702044,-2.8996847145034055
-0.93,0.41621607999999954,0.4287849955957708,0.08119577832738419,-2.799239012045146
-0.918,0.5124379214079999,0.5310241919567062,0.07394645455299735,-2.7121048437637203
-0.906,0.615125911168,0.6224770539057439,0.05993284093247053,-2.612043359492946
-0.894,0.7239774695679997,0.7364338468946355,0.08567474184787088,-2.501421106212418
-0.882,0.8386939982079997,0.8385749540229672,0.08017913703320748,-2.383114921184961
-0.87,0.9589808799999999,0.9855848665268266,0.07394926655694554,-2.271333056134623
-0.858,1.0845474791680005,1.072433645266756,0.049245755104723773,-2.141952864368073
-0.8460000000000001,1.2151071412479992,1.2346690642711464,0.06697456012603482,-2.004934407938665
-0.8340000000000001,1.3503771930879989,1.372560846160632,0.07692992206067696,-1.8735284901696752
