T_K,time_au,time_fs,DVR_flux_au,analytic_flux_au
100.0,9300.0,224.9562399,7.607908100202462e-13,7.609701500526184e-13
100.0,9400.0,227.37512420000002,7.607947920169235e-13,7.609701500526184e-13
100.0,9500.0,229.79400850000002,7.607986411736984e-13,7.609701500526184e-13
100.0,9600.0,232.21289280000002,7.608023633963118e-13,7.609701500526184e-13
100.0,9700.0,234.63177710000002,7.60805964263158e-13,7.609701500526184e-13
100.0,9800.0,237.05066140000002,7.608094490469655e-13,7.609701500526184e-13
100.0,9900.0,239.46954570000003,7.608128227348071e-13,7.609701500526184e-13
100.0,10000.0,241.88843000000003,7.608160900465918e-13,7.609701500526184e-13
150.0,6000.0,145.133058,1.762072590279991e-11,1.762117548320866e-11
150.0,6100.0,147.5519423,1.7620741829861978e-11,1.762117548320866e-11
150.0,6200.0,149.9708266,1.762075690980383e-11,1.762117548320866e-11
150.0,6300.0,152.3897109,1.762077120174662e-11,1.762117548320866e-11
150.0,6400.0,154.8085952,1.7620784759377765e-11,1.762117548320866e-11
150.0,6500.0,157.22747950000002,1.7620797632452255e-11,1.762117548320866e-11
150.0,6600.0,159.64636380000002,1.7620809867236903e-11,1.762117548320866e-11
150.0,6700.0,162.06524810000002,1.7620821506355224e-11,1.762117548320866e-11
150.0,6800.0,164.48413240000002,1.762083258869151e-11,1.762117548320866e-11
150.0,6900.0,166.90301670000002,1.762084314965892e-11,1.762117548320866e-11
150.0,7000.0,169.321901,1.762085322171637e-11,1.762117548320866e-11
150.0,7100.0,171.7407853,1.7620862834861498e-11,1.762117548320866e-11
150.0,7200.0,174.1596696,1.7620872016935908e-11,1.762117548320866e-11
150.0,7300.0,176.5785539,1.7620880793763014e-11,1.762117548320866e-11
150.0,7400.0,178.9974382,1.7620889189234e-11,1.762117548320866e-11
150.0,7500.0,181.4163225,1.7620897225431316e-11,1.762117548320866e-11
150.0,7600.0,183.8352068,1.762090492280147e-11,1.762117548320866e-11
150.0,7700.0,186.2540911,1.762091230033657e-11,1.762117548320866e-11
150.0,7800.0,188.6729754,1.7620919375723784e-11,1.762117548320866e-11
150.0,7900.0,191.09185970000001,1.7620926165453158e-11,1.762117548320866e-11
150.0,8000.0,193.51074400000002,1.7620932684899503e-11,1.762117548320866e-11
150.0,8100.0,195.92962830000002,1.76209389483994e-11,1.762117548320866e-11
150.0,8200.0,198.34851260000002,1.7620944969332187e-11,1.762117548320866e-11
150.0,8300.0,200.76739690000002,1.7620950760201803e-11,1.762117548320866e-11
150.0,8400.0,203.18628120000002,1.7620956332711448e-11,1.762117548320866e-11
150.0,8500.0,205.60516550000003,1.762096169782705e-11,1.762117548320866e-11
150.0,8600.0,208.0240498,1.7620966865830925e-11,1.762117548320866e-11
150.0,8700.0,210.4429341,1.7620971846369815e-11,1.762117548320866e-11
150.0,8800.0,212.8618184,1.762097664850027e-11,1.762117548320866e-11
150.0,8900.0,215.2807027,1.762098128073232e-11,1.762117548320866e-11
150.0,9000.0,217.699587,1.762098575106995e-11,1.762117548320866e-11
150.0,9100.0,220.1184713,1.7620990067047828e-11,1.762117548320866e-11
150.0,9200.0,222.5373556,1.762099423576412e-11,1.762117548320866e-11
150.0,9300.0,224.9562399,1.7620998263910062e-11,1.762117548320866e-11
150.0,9400.0,227.37512420000002,1.7621002157797452e-11,1.762117548320866e-11
150.0,9500.0,229.79400850000002,1.7621005923384185e-11,1.762117548320866e-11
150.0,9600.0,232.21289280000002,1.7621009566298275e-11,1.762117548320866e-11
150.0,9700.0,234.63177710000002,1.7621013091859906e-11,1.762117548320866e-11
150.0,9800.0,237.05066140000002,1.7621016505101745e-11,1.762117548320866e-11
150.0,9900.0,239.46954570000003,1.7621019810787544e-11,1.762117548320866e-11
150.0,10000.0,241.88843000000003,1.7621023013429273e-11,1.762117548320866e-11
180.0,6000.0,145.133058,9.804976547893505e-11,9.805020968948523e-11
180.0,6100.0,147.5519423,9.804978105321335e-11,9.805020968948523e-11
180.0,6200.0,149.9708266,9.804979581625373e-11,9.805020968948523e-11
180.0,6300.0,152.3897109,9.804980981758316e-11,9.805020968948523e-11
180.0,6400.0,154.8085952,9.804982310389375e-11,9.805020968948523e-11
180.0,6500.0,157.22747950000002,9.804983572288185e-11,9.805020968948523e-11
180.0,6600.0,159.64636380000002,9.804984772164719e-11,9.805020968948523e-11
180.0,6700.0,162.06524810000002,9.804985914341198e-11,9.805020968948523e-11
180.0,6800.0,164.48413240000002,9.80498700259147e-11,9.805020968948523e-11
180.0,6900.0,166.90301670000002,9.804988040218462e-11,9.805020968948523e-11
180.0,7000.0,169.321901,9.804989030235597e-11,9.805020968948523e-11
180.0,7100.0,171.7407853,9.804989975496817e-11,9.805020968948523e-11
180.0,7200.0,174.1596696,9.804990878719736e-11,9.805020968948523e-11
180.0,7300.0,176.5785539,9.804991742445138e-11,9.805020968948523e-11
180.0,7400.0,178.9974382,9.80499256900238e-11,9.805020968948523e-11
180.0,7500.0,181.4163225,9.804993360515566e-11,9.805020968948523e-11
180.0,7600.0,183.8352068,9.80499411894018e-11,9.805020968948523e-11
180.0,7700.0,186.2540911,9.804994846100904e-11,9.805020968948523e-11
180.0,7800.0,188.6729754,9.804995543711722e-11,9.805020968948523e-11
180.0,7900.0,191.09185970000001,9.80499621337922e-11,9.805020968948523e-11
180.0,8000.0,193.51074400000002,9.804996856600872e-11,9.805020968948523e-11
180.0,8100.0,195.92962830000002,9.804997474768271e-11,9.805020968948523e-11
180.0,8200.0,198.34851260000002,9.80499806917688e-11,9.805020968948523e-11
180.0,8300.0,200.76739690000002,9.804998641037998e-11,9.805020968948523e-11
180.0,8400.0,203.18628120000002,9.804999191488296e-11,9.805020968948523e-11
180.0,8500.0,205.60516550000003,9.804999721595515e-11,9.805020968948523e-11
180.0,8600.0,208.0240498,9.805000232361879e-11,9.805020968948523e-11
180.0,8700.0,210.4429341,9.805000724727369e-11,9.805020968948523e-11
180.0,8800.0,212.8618184,9.805001199573995e-11,9.805020968948523e-11
180.0,8900.0,215.2807027,9.805001657730599e-11,9.805020968948523e-11
180.0,9000.0,217.699587,9.805002099977377e-11,9.805020968948523e-11
180.0,9100.0,220.1184713,9.805002527049568e-11,9.805020968948523e-11
180.0,9200.0,222.5373556,9.805002939640361e-11,9.805020968948523e-11
180.0,9300.0,224.9562399,9.805003338403413e-11,9.805020968948523e-11
180.0,9400.0,227.37512420000002,9.805003723955361e-11,9.805020968948523e-11
180.0,9500.0,229.79400850000002,9.805004096878349e-11,9.805020968948523e-11
180.0,9600.0,232.21289280000002,9.805004457722474e-11,9.805020968948523e-11
180.0,9700.0,234.63177710000002,9.805004807008009e-11,9.805020968948523e-11
180.0,9800.0,237.05066140000002,9.80500514522739e-11,9.805020968948523e-11
180.0,9900.0,239.46954570000003,9.805005472846959e-11,9.805020968948523e-11
180.0,10000.0,241.88843000000003,9.805005790308607e-11,9.805020968948523e-11
200.0,6000.0,145.133058,2.786303488865817e-10,2.7863079018930215e-10
200.0,6100.0,147.5519423,2.786303642694071e-10,2.7863079018930215e-10
