T_K,imaginary_time_fraction,x
100.0,0.328125,-0.6217968605038134
100.0,0.33203125,-0.6437817034616832
100.0,0.3359375,-0.6649454523182087
100.0,0.33984375,-0.685312077517569
100.0,0.34375,-0.7049054592549222
100.0,0.34765625,-0.7237491424525886
100.0,0.3515625,-0.7418661511186136
100.0,0.35546875,-0.7592788511717141
100.0,0.359375,-0.7760088524128425
100.0,0.36328125,-0.792076941800719
100.0,0.3671875,-0.8075030415087352
100.0,0.37109375,-0.8223061863912643
100.0,0.375,-0.8365045164719175
100.0,0.37890625,-0.8501152808966249
100.0,0.3828125,-0.8631548504869216
100.0,0.38671875,-0.8756387366011006
100.0,0.390625,-0.8875816144802942
100.0,0.39453125,-0.8989973496391485
100.0,0.3984375,-0.9098990261708728
100.0,0.40234375,-0.9202989760866204
100.0,0.40625,-0.9302088090100322
100.0,0.41015625,-0.9396394417083768
100.0,0.4140625,-0.948601127069555
100.0,0.41796875,-0.9571034822355223
100.0,0.421875,-0.9651555156825181
100.0,0.42578125,-0.9727656531010834
100.0,0.4296875,-0.9799417619775465
100.0,0.43359375,-0.9866911748162773
100.0,0.4375,-0.993020710970753
100.0,0.44140625,-0.998936697073132
100.0,0.4453125,-1.004444986068101
100.0,0.44921875,-1.0095509748683307
100.0,0.453125,-1.0142596206569603
100.0,0.45703125,-1.0185754558678122
100.0,0.4609375,-1.0225026018771581
100.0,0.46484375,-1.0260447814422615
100.0,0.46875,-1.029205329922008
100.0,0.47265625,-1.0319872053139865
100.0,0.4765625,-1.0343929971406458
100.0,0.48046875,-1.0364249342148169
100.0,0.484375,-1.0380848913120768
100.0,0.48828125,-1.0393743947742904
100.0,0.4921875,-1.0402946270652624
100.0,0.49609375,-1.0408464302958258
100.0,0.5,-1.0410303087319768
100.0,0.50390625,-1.0408464302958258
100.0,0.5078125,-1.0402946270652624
100.0,0.51171875,-1.0393743947742904
100.0,0.515625,-1.0380848913120768
100.0,0.51953125,-1.0364249342148169
100.0,0.5234375,-1.0343929971406458
100.0,0.52734375,-1.0319872053139865
100.0,0.53125,-1.029205329922008
100.0,0.53515625,-1.0260447814422615
100.0,0.5390625,-1.0225026018771581
100.0,0.54296875,-1.0185754558678124
100.0,0.546875,-1.0142596206569605
100.0,0.55078125,-1.0095509748683307
100.0,0.5546875,-1.004444986068101
100.0,0.55859375,-0.9989366970731323
100.0,0.5625,-0.993020710970753
100.0,0.56640625,-0.9866911748162773
100.0,0.5703125,-0.9799417619775465
100.0,0.57421875,-0.9727656531010834
100.0,0.578125,-0.9651555156825182
100.0,0.58203125,-0.9571034822355223
100.0,0.5859375,-0.9486011270695552
100.0,0.58984375,-0.9396394417083768
100.0,0.59375,-0.9302088090100322
100.0,0.59765625,-0.9202989760866206
100.0,0.6015625,-0.9098990261708728
100.0,0.60546875,-0.8989973496391485
100.0,0.609375,-0.8875816144802942
100.0,0.61328125,-0.8756387366011006
