T_K,T_over_Tc,E_star,instanton_action,gaussian_energy_width,exact_flux,classical_TST_flux,thermal_WKB_flux,instanton_flux,exact_over_TST,WKB_over_TST,instanton_over_TST,instanton_over_exact,WKB_over_exact
118.0,0.4742771870599824,0.002249388501655296,19.364382208321505,0.0012965800885198768,2.443444493290991e-12,1.4201868215009616e-16,2.0130161854359203e-12,2.0130987314486896e-12,17205.092008307558,14174.305485446002,14174.886718925427,0.8238774144352738,0.8238436317923712
120.0,0.48231578345082954,0.0023262851496578755,19.26235682624647,0.0013296832745376694,2.7744904638271593e-12,2.256027374878426e-16,2.286086863076325e-12,2.2862461847113093e-12,12298.124103997952,10133.240795446993,10133.94699979876,0.8240238034762026,0.8239663797304513
122.0,0.49035437984167674,0.002404474178299154,19.16033144417144,0.0013630634827140424,3.1488960305967228e-12,3.530789201323658e-16,2.595093690456236e-12,2.595373889381436e-12,8918.391472977863,7349.896984740299,7350.690571978797,0.8242170793075079,0.8241280960821245
124.0,0.4983929762325239,0.0024839555875791315,19.058306062096406,0.0013967184328373293,3.572151969798027e-12,5.44802351075327e-16,2.9446438995481474e-12,2.9451117154071892e-12,6556.785158410823,5404.976490530979,5405.835179664971,0.8244642838008117,0.8243333218868178
126.0,0.506431572623371,0.002564729377497808,18.956280680021376,0.0014306459000932813,4.050414330012762e-12,8.293492137407432e-16,3.3399190867343915e-12,3.3406742050020473e-12,4883.846590682285,4027.156511874935,4028.0670068210266,0.8247734510142131,0.8245870211317043
128.0,0.5144701690142182,0.002646795548055183,18.85425529794634,0.0014648437128575822,4.590579339692955e-12,1.2463515005080562e-15,3.7867438063620366e-12,3.787933281053083e-12,3683.214035383819,3038.2631262676928,3039.2174916217373,0.825153646360122,0.8248945342518176
130.0,0.5225087654050654,0.0027301540992512563,18.75222991587131,0.0014993097506095896,5.200365655983134e-12,1.850141198584018e-15,4.291661673654376e-12,4.29349988269699e-12,2810.7939328972125,2319.640077708093,2320.6336283862906,0.8256149983909736,0.825261521507959
132.0,0.5305473617959126,0.00281480503108603,18.650204533796277,0.0015340419419588654,5.888404488187511e-12,2.7143854966679154e-15,4.862019648740864e-12,4.864815612417469e-12,2169.332431010964,1791.2045487677815,1792.2346027818621,0.8261687223044167,0.8256938969621337
134.0,0.5385859581867597,0.0029007483435595015,18.548179151721246,0.0015690382627767889,6.664338141745786e-12,3.937923186108128e-15,5.506061205849164e-12,5.5102556095256935e-12,1692.3484351486777,1398.2144764207135,1399.2796073230445,0.826827134567069,0.8261977541864044
136.0,0.5466245545776068,0.0029879840366716704,18.446153769646216,0.0016042967344261543,7.538927538295936e-12,5.652043124417785e-15,6.233029121363336e-12,6.239244010979009e-12,1333.8411212268516,1102.7922087918248,1103.8917916291928,0.8276036583831258,0.8267792852101375
